M0,g,gv,ch,cl,total_widthV0,BRWW,BRhZ,BRuu,BRdd,BRnunu,BRbb,BRtt,BRjets,BRll
4000.0,0.6534,3.0,0.5,-11.24302,803.7715,0.018638931,0.018654794,0.120432205,0.120413214,0.12039422,0.120412715,0.11975737,0.7218609,0.0803008
4000.0,0.6534,3.0,0.58333,-11.24302,812.9024,0.025123717,0.025125405,0.118813105,0.118791185,0.118769266,0.11879069,0.11814738,0.7121466,0.07922336
4000.0,0.6534,3.0,0.66667,-11.24302,823.74414,0.032442246,0.032414995,0.11698722,0.11696247,0.11693773,0.116961986,0.116331756,0.7011931,0.07800798
4000.0,0.6534,3.0,0.75,-11.24302,836.308,0.04052602,0.040450193,0.11497228,0.11494483,0.11491739,0.11494435,0.114328146,0.6891067,0.07666649
4000.0,0.6534,3.0,0.83333,-11.24302,850.6112,0.049304515,0.049155254,0.11278658,0.112756565,0.112726554,0.112756096,0.11215473,0.6759971,0.07521108
4000.0,0.6534,3.0,0.91667,-11.24302,866.67413,0.05870451,0.058451492,0.11044913,0.11041668,0.11038423,0.11041622,0.1098304,0.6619782,0.07365439
4000.0,0.6534,3.0,1.0,-11.24302,884.51324,0.06864786,0.068255186,0.107980154,0.10794542,0.1079107,0.10794497,0.107375294,0.6471714,0.072009936
4000.0,0.6534,3.0,1.08333,-11.24302,904.15326,0.079059735,0.07848584,0.105399095,0.10536223,0.10532537,0.10536179,0.10480872,0.6316931,0.07029065
4000.0,0.6534,3.0,1.16667,-11.24302,925.62213,0.08986678,0.08906439,0.10272501,0.10268616,0.10264733,0.102685735,0.10214964,0.6156577,0.06850924
4000.0,0.6534,3.0,1.25,-11.24302,948.9426,0.10099409,0.09991042,0.099977314,0.09993665,0.099896,0.09993623,0.09941738,0.59918153,0.066678666
4000.0,0.6534,3.0,1.33333,-11.24302,974.14777,0.112373985,0.11095076,0.09717365,0.09713131,0.09708899,0.09713091,0.09662945,0.5823703,0.06481067
4000.0,0.6534,3.0,1.41667,-11.24302,1001.2745,0.123943,0.12211657,0.094330564,0.09428671,0.09424287,0.094286315,0.09380231,0.5653231,0.062916294
4000.0,0.6534,3.0,1.5,-11.24302,1030.3529,0.13563813,0.13333984,0.09146444,0.09141921,0.09137401,0.09141883,0.09095226,0.5481384,0.061006457
4000.0,0.6534,3.0,1.58333,-11.24302,1061.4261,0.1474056,0.1445618,0.08858935,0.0885429,0.08849648,0.088542536,0.08809331,0.5309003,0.059090547
4000.0,0.6534,3.0,1.66667,-11.24302,1094.5417,0.15919694,0.15572917,0.085718036,0.0856705,0.085622996,0.08567015,0.0852381,0.5136853,0.057177063
4000.0,0.6534,3.0,1.75,-11.24302,1129.739,0.17096482,0.16679026,0.08286289,0.08281441,0.08276595,0.08281407,0.082398966,0.49656758,0.055274267
4000.0,0.6534,3.0,1.83333,-11.24302,1167.073,0.18267147,0.17770283,0.08003391,0.079984605,0.079935335,0.07998428,0.07958586,0.47960714,0.05338883
4000.0,0.6534,3.0,1.91667,-11.24302,1206.6046,0.1942843,0.18843003,0.0772398,0.077189796,0.07713982,0.077189475,0.07680741,0.46285602,0.051526558
4000.0,0.6534,3.0,2.0,-11.24302,1248.3845,0.20577158,0.1989362,0.074488975,0.074438386,0.07438783,0.07443808,0.07407202,0.4463648,0.04969307
4000.0,0.6534,3.0,2.08333,-11.24302,1292.4834,0.21711046,0.20919445,0.07178768,0.07173661,0.071685575,0.07173631,0.07138587,0.43017074,0.047892526
4000.0,0.6534,3.0,2.16667,-11.24302,1338.978,0.22828245,0.21918222,0.069141045,0.0690896,0.06903819,0.06908931,0.06875407,0.41430464,0.04612835
4000.0,0.6534,3.0,2.25,-11.24302,1387.9348,0.23926914,0.22887748,0.06655412,0.06650239,0.0664507,0.06650212,0.06618165,0.3987968,0.04440393
