M0,g,gv,ch,cl,GammaTot,BRWH,BRWZ,BRlnu,BRjets
2000.0,0.6534,1.0,-7.5,1.40538,743.2562,0.37585676,0.5603646,0.010587732,0.04746657
2000.0,0.6534,1.0,-7.25,1.40538,642.2689,0.3842505,0.54137146,0.012361798,0.055420015
2000.0,0.6534,1.0,-7.0,1.40538,565.488,0.38956383,0.5253782,0.014148922,0.06343199
2000.0,0.6534,1.0,-6.75,1.40538,503.32303,0.39276314,0.5110663,0.016008139,0.07176719
2000.0,0.6534,1.0,-6.5,1.40538,451.1276,0.39430296,0.49775624,0.017977139,0.08059455
2000.0,0.6534,1.0,-6.25,1.40538,406.25534,0.39442223,0.4850273,0.020086357,0.09005054
2000.0,0.6534,1.0,-6.0,1.40538,367.0407,0.39324772,0.47258392,0.022364045,0.1002618
2000.0,0.6534,1.0,-5.75,1.40538,332.36124,0.39083907,0.4601968,0.024838591,0.11135562
2000.0,0.6534,1.0,-5.5,1.40538,301.42163,0.3872106,0.4476731,0.027539846,0.123465806
2000.0,0.6534,1.0,-5.25,1.40538,273.63666,0.38234308,0.43483996,0.030499946,0.13673645
2000.0,0.6534,1.0,-5.0,1.40538,248.56258,0.37619048,0.42153412,0.033753894,0.15132445
2000.0,0.6534,1.0,-4.75,1.40538,225.85464,0.36868396,0.40759575,0.037339926,0.16740124
2000.0,0.6534,1.0,-4.5,1.40538,205.23987,0.359735,0.39286444,0.041299652,0.18515338
2000.0,0.6534,1.0,-4.25,1.40538,186.49849,0.34923825,0.37717745,0.045677934,0.20478196
2000.0,0.6534,1.0,-4.0,1.40538,169.45122,0.3370746,0.36036956,0.050522275,0.22649997
2000.0,0.6534,1.0,-3.75,1.40538,153.95016,0.32311648,0.3422757,0.055881627,0.25052688
2000.0,0.6534,1.0,-3.5,1.40538,139.87221,0.30723497,0.32273635,0.061804224,0.2770789
2000.0,0.6534,1.0,-3.25,1.40538,127.11411,0.2893111,0.30160695,0.06833412,0.3063535
2000.0,0.6534,1.0,-3.0,1.40538,115.588844,0.2692523,0.2787732,0.075505905,0.33850586
2000.0,0.6534,1.0,-2.75,1.40538,105.22269,0.24701591,0.25417265,0.08333714,0.37361464
2000.0,0.6534,1.0,-2.5,1.40538,95.95308,0.22264102,0.2278253,0.09181797,0.41163567
2000.0,0.6534,1.0,-2.25,1.40538,87.72689,0.19628927,0.19987231,0.10089775,0.45234188
2000.0,0.6534,1.0,-2.0,1.40538,80.499084,0.16829321,0.17062254,0.11046925,0.49525255
2000.0,0.6534,1.0,-1.75,1.40538,74.2316,0.13920695,0.14060104,0.12035204,0.53955877
2000.0,0.6534,1.0,-1.5,1.40538,68.89252,0.10984854,0.11058977,0.13027859,0.5840612
2000.0,0.6534,1.0,-1.25,1.40538,64.4554,0.08131704,0.08164381,0.13988873,0.6271451
2000.0,0.6534,1.0,-1.0,1.40538,60.89868,0.054963015,0.0550624,0.14873946,0.6668244
2000.0,0.6534,1.0,-0.75,1.40538,58.20531,0.032293245,0.032296535,0.1563362,0.70088196
2000.0,0.6534,1.0,-0.5,1.40538,56.362377,0.0148042925,0.014787826,0.16218774,0.7271154
2000.0,0.6534,1.0,-0.25,1.40538,55.36086,0.003765374,0.0037584356,0.1658775,0.74365723
2000.0,0.6534,1.0,0.0,1.40538,55.195477,0.0,0.0,0.16713546,0.7492969
2000.0,0.6534,1.0,0.25,1.40538,55.864544,0.0037314864,0.003724499,0.16588885,0.7437081
2000.0,0.6534,1.0,0.5,1.40538,57.36996,0.014544721,0.014527626,0.16227464,0.727505
2000.0,0.6534,1.0,0.75,1.40538,59.717182,0.03147683,0.031476803,0.15660979,0.7021085
2000.0,0.6534,1.0,1.0,1.40538,62.91533,0.053203076,0.05329118,0.14932992,0.66947156
2000.0,0.6534,1.0,1.25,1.40538,66.97728,0.07825663,0.07855426,0.14091711,0.63175553
2000.0,0.6534,1.0,1.5,1.40538,71.919914,0.10522302,0.10590193,0.13183594,0.59104306
2000.0,0.6534,1.0,1.75,1.40538,77.76433,0.13287388,0.13415165,0.122489505,0.5491414
2000.0,0.6534,1.0,2.0,1.40538,84.53627,0.16023251,0.16236593,0.11319785,0.50748533
2000.0,0.6534,1.0,2.25,1.40538,92.266525,0.186584,0.18986177,0.10419469,0.4671226
2000.0,0.6534,1.0,2.5,1.40538,100.991516,0.21144931,0.216186,0.0956359,0.42875206
2000.0,0.6534,1.0,2.75,1.40538,110.75404,0.23454273,0.24107386,0.0876135,0.3927863
2000.0,0.6534,1.0,3.0,1.40538,121.60416,0.25572538,0.26440445,0.08017094,0.35942
2000.0,0.6534,1.0,3.25,1.40538,133.60027,0.274963,0.28616005,0.07331689,0.32869214
2000.0,0.6534,1.0,3.5,1.40538,146.81058,0.29229105,0.30639276,0.067036726,0.30053708
2000.0,0.6534,1.0,3.75,1.40538,161.31482,0.3077879,0.32519898,0.0613012,0.27482376
2000.0,0.6534,1.0,4.0,1.40538,177.20653,0.3215553,0.34270102,0.056072887,0.25138432
2000.0,0.6534,1.0,4.25,1.40538,194.59595,0.3337043,0.35903433,0.05131054,0.2300339
2000.0,0.6534,1.0,4.5,1.40538,213.61377,0.34434614,0.37433943,0.04697207,0.21058379
2000.0,0.6534,1.0,4.75,1.40538,234.41614,0.35358602,0.38875705,0.043016363,0.19284968
2000.0,0.6534,1.0,5.0,1.40538,257.19128,0.36151886,0.40242586,0.03940435,0.17665641
2000.0,0.6534,1.0,5.25,1.40538,282.1687,0.36822686,0.41548184,0.03609956,0.16184047
2000.0,0.6534,1.0,5.5,1.40538,309.6319,0.37377733,0.42805937,0.03306826,0.14825062
2000.0,0.6534,1.0,5.75,1.40538,339.93668,0.37822086,0.44029352,0.030279405,0.13574772
2000.0,0.6534,1.0,6.0,1.40538,373.53815,0.38158894,0.4523239,0.02770438,0.124203436
2000.0,0.6534,1.0,6.25,1.40538,411.03235,0.38389063,0.4643005,0.025316589,0.11349855
2000.0,0.6534,1.0,6.5,1.40538,453.22238,0.38510668,0.47639287,0.023090884,0.10352034
2000.0,0.6534,1.0,6.75,1.40538,501.2309,0.3851797,0.4888049,0.021002755,0.094158895
2000.0,0.6534,1.0,7.0,1.40538,556.70325,0.38399574,0.5018011,0.019027017,0.08530133
2000.0,0.6534,1.0,7.25,1.40538,622.21185,0.3813475,0.515757,0.01713548,0.076821245
2000.0,0.6534,1.0,7.5,1.40538,702.1701,0.37685168,0.53127223,0.015291947,0.06855637
