M0,g,gv,ch,cl,GammaTot,BRWH,BRWZ,BRlnu,BRjets
3000.0,0.6534,3.0,-2.5,4.21613,744.52905,0.42217928,0.47288874,0.017484019,0.07854731
3000.0,0.6534,3.0,-2.41667,4.21613,692.5651,0.42033175,0.4666188,0.018838985,0.08463452
3000.0,0.6534,3.0,-2.33333,4.21613,643.8121,0.41799292,0.4601354,0.020311566,0.09125012
3000.0,0.6534,3.0,-2.25,4.21613,598.04565,0.41513175,0.45338997,0.021915054,0.09845382
3000.0,0.6534,3.0,-2.16667,4.21613,555.05444,0.41170993,0.4463276,0.023665007,0.10631552
3000.0,0.6534,3.0,-2.08333,4.21613,514.65405,0.40768194,0.4388883,0.02557903,0.11491431
3000.0,0.6534,3.0,-2.0,4.21613,476.6961,0.40299615,0.43100908,0.02767627,0.1243362
3000.0,0.6534,3.0,-1.91667,4.21613,441.03595,0.39759114,0.42261747,0.029979054,0.13468151
3000.0,0.6534,3.0,-1.83333,4.21613,407.54596,0.39139616,0.41363308,0.03251262,0.1460636
3000.0,0.6534,3.0,-1.75,4.21613,376.12408,0.38433284,0.40397024,0.035304345,0.15860549
3000.0,0.6534,3.0,-1.66667,4.21613,346.66797,0.3763101,0.39353058,0.03838584,0.17244916
3000.0,0.6534,3.0,-1.58333,4.21613,319.0867,0.3672255,0.3822055,0.041792348,0.18775298
3000.0,0.6534,3.0,-1.5,4.21613,293.30826,0.3569687,0.36988014,0.045561433,0.20468566
3000.0,0.6534,3.0,-1.41667,4.21613,269.25876,0.34541577,0.3564262,0.049735203,0.22343642
3000.0,0.6534,3.0,-1.33333,4.21613,246.87234,0.33243337,0.34170666,0.054358784,0.24420795
3000.0,0.6534,3.0,-1.25,4.21613,226.0976,0.3178876,0.32558513,0.05947729,0.26720294
3000.0,0.6534,3.0,-1.16667,4.21613,206.88072,0.30164054,0.3079212,0.06513717,0.29263005
3000.0,0.6534,3.0,-1.08333,4.21613,189.17395,0.2835638,0.28858423,0.07138164,0.3206835
3000.0,0.6534,3.0,-1.0,4.21613,172.9406,0.26356062,0.26747578,0.078243315,0.3515097
3000.0,0.6534,3.0,-0.91667,4.21613,158.14186,0.24157418,0.24453658,0.08574155,0.38519567
3000.0,0.6534,3.0,-0.83333,4.21613,144.74362,0.21762261,0.21978153,0.09387083,0.42171663
3000.0,0.6534,3.0,-0.75,4.21613,132.72026,0.19184704,0.19334753,0.10258476,0.4608641
3000.0,0.6534,3.0,-0.66667,4.21613,122.04464,0.16454072,0.16552119,0.11178655,0.50220335
3000.0,0.6534,3.0,-0.58333,4.21613,112.69355,0.13620673,0.13679618,0.12130985,0.54498696
3000.0,0.6534,3.0,-0.5,4.21613,104.65006,0.1076131,0.10792767,0.13090043,0.58807284
3000.0,0.6534,3.0,-0.41667,4.21613,97.89669,0.079794355,0.0799333,0.14021577,0.6299222
3000.0,0.6534,3.0,-0.33333,4.21613,92.41929,0.054041475,0.05408355,0.14882837,0.6686145
3000.0,0.6534,3.0,-0.25,4.21613,88.208244,0.031826627,0.03182765,0.15625066,0.70195925
3000.0,0.6534,3.0,-0.16667,4.21613,85.25442,0.014628139,0.014620827,0.16199298,0.72775674
3000.0,0.6534,3.0,-0.08333,4.21613,83.55173,0.0037299395,0.0037268822,0.16563015,0.74409676
3000.0,0.6534,3.0,0.0,4.21613,83.09707,0.0,0.0,0.1668747,0.74968797
