M0,g,gv,ch,cl,GammaTot,BRWH,BRWZ,BRlnu,BRjets
3000.0,0.6534,1.0,-7.5,3.74767,1189.7817,0.2651455,0.29815122,0.07285759,0.32731417
3000.0,0.6534,1.0,-7.25,3.74767,1138.9728,0.25640175,0.28561908,0.076408744,0.3432678
3000.0,0.6534,1.0,-7.0,3.74767,1091.5172,0.24723653,0.27299407,0.08004572,0.359607
3000.0,0.6534,1.0,-6.75,3.74767,1047.1564,0.23766878,0.26027218,0.08376604,0.37632066
3000.0,0.6534,1.0,-6.5,3.74767,1005.66626,0.2277199,0.24745443,0.08756597,0.3933919
3000.0,0.6534,1.0,-6.25,3.74767,966.8522,0.21741435,0.23454696,0.091440395,0.4107978
3000.0,0.6534,1.0,-6.0,3.74767,930.54376,0.20678024,0.22156106,0.09538273,0.42850885
3000.0,0.6534,1.0,-5.75,3.74767,896.5914,0.1958497,0.2085134,0.099384844,0.44648844
3000.0,0.6534,1.0,-5.5,3.74767,864.8629,0.18465939,0.1954261,0.103436925,0.46469247
3000.0,0.6534,1.0,-5.25,3.74767,835.24146,0.1732508,0.18232694,0.107527405,0.48306906
3000.0,0.6534,1.0,-5.0,3.74767,807.62305,0.16167058,0.16924939,0.11164292,0.50155807
3000.0,0.6534,1.0,-4.75,3.74767,781.9153,0.14997075,0.15623264,0.11576824,0.5200912
3000.0,0.6534,1.0,-4.5,3.74767,758.0356,0.13820875,0.14332168,0.11988628,0.5385915
3000.0,0.6534,1.0,-4.25,3.74767,735.91016,0.12644741,0.13056703,0.12397811,0.5569742
3000.0,0.6534,1.0,-4.0,3.74767,715.4731,0.11475476,0.11802452,0.12802306,0.5751462
3000.0,0.6534,1.0,-3.75,3.74767,696.6652,0.10320367,0.10575488,0.13199884,0.59300745
3000.0,0.6534,1.0,-3.5,3.74767,679.4337,0.09187124,0.09382317,0.1358817,0.61045134
3000.0,0.6534,1.0,-3.25,3.74767,663.7313,0.0808381,0.082298,0.13964678,0.627366
3000.0,0.6534,1.0,-3.0,3.74767,649.51587,0.070187405,0.07125069,0.14326826,0.6436356
3000.0,0.6534,1.0,-2.75,3.74767,636.74963,0.060003743,0.0607541,0.14671986,0.65914196
3000.0,0.6534,1.0,-2.5,3.74767,625.3993,0.050371755,0.050881453,0.14997526,0.67376685
3000.0,0.6534,1.0,-2.25,3.74767,615.43536,0.0413747,0.041704956,0.15300848,0.68739367
3000.0,0.6534,1.0,-2.0,3.74767,606.83185,0.03309286,0.033294342,0.15579449,0.6999099
3000.0,0.6534,1.0,-1.75,3.74767,599.5663,0.025601927,0.025715379,0.1583097,0.7112096
3000.0,0.6534,1.0,-1.5,3.74767,593.61914,0.018971348,0.019028371,0.16053244,0.7211953
3000.0,0.6534,1.0,-1.25,3.74767,588.97394,0.0132627785,0.013286741,0.16244352,0.7297808
3000.0,0.6534,1.0,-1.0,3.74767,585.6171,0.008528637,0.0085357195,0.16402662,0.73689294
3000.0,0.6534,1.0,-0.75,3.74767,583.53766,0.004810879,0.004811232,0.16526875,0.7424732
3000.0,0.6534,1.0,-0.5,3.74767,582.7271,0.002140014,0.0021390142,0.16616052,0.7464795
3000.0,0.6534,1.0,-0.25,3.74767,583.1796,0.0005344208,0.00053399673,0.16669638,0.7488869
3000.0,0.6534,1.0,0.0,3.74767,584.8917,0.0,0.0,0.1668747,0.74968797
3000.0,0.6534,1.0,0.25,3.74767,587.86237,0.00053016836,0.0005297393,0.1666978,0.74889326
3000.0,0.6534,1.0,0.5,3.74767,592.0929,0.0021061962,0.0021051425,0.16617182,0.7465303
3000.0,0.6534,1.0,0.75,3.74767,597.58685,0.004697867,0.0046979585,0.16530651,0.7426429
3000.0,0.6534,1.0,1.0,3.74767,604.35046,0.008264421,0.008270624,0.16411497,0.73728985
3000.0,0.6534,1.0,1.25,3.74767,612.3921,0.012755733,0.012777344,0.16261317,0.730543
3000.0,0.6534,1.0,1.5,3.74767,621.7227,0.018113675,0.018165331,0.16081965,0.7224856
3000.0,0.6534,1.0,1.75,3.74767,632.3557,0.024273584,0.024376156,0.15875496,0.71320987
3000.0,0.6534,1.0,2.0,3.74767,644.3071,0.031165797,0.031347126,0.15644115,0.7028151
3000.0,0.6534,1.0,2.25,3.74767,657.59576,0.038717173,0.039012697,0.15390141,0.69140524
3000.0,0.6534,1.0,2.5,3.74767,672.2431,0.046852548,0.047305785,0.15115947,0.679087
3000.0,0.6534,1.0,2.75,3.74767,688.2738,0.055496126,0.056159027,0.14823921,0.6659677
3000.0,0.6534,1.0,3.0,3.74767,705.7155,0.064572684,0.0655059,0.14516431,0.6521536
3000.0,0.6534,1.0,3.25,3.74767,724.5994,0.07400867,0.0752817,0.14195782,0.6377484
3000.0,0.6534,1.0,3.5,3.74767,744.96014,0.0837331,0.085424386,0.13864195,0.6228518
3000.0,0.6534,1.0,3.75,3.74767,766.8364,0.09367828,0.09587525,0.13523781,0.6075586
3000.0,0.6534,1.0,4.0,3.74767,790.27106,0.10378039,0.10657942,0.13176519,0.5919578
3000.0,0.6534,1.0,4.25,3.74767,815.3116,0.113979876,0.1174863,0.1282425,0.576132
3000.0,0.6534,1.0,4.5,3.74767,842.01044,0.1242217,0.12854974,0.1246866,0.56015706
3000.0,0.6534,1.0,4.75,3.74767,870.4257,0.13445546,0.13972825,0.12111284,0.5441019
3000.0,0.6534,1.0,5.0,3.74767,900.6217,0.1446354,0.15098497,0.117535,0.52802837
