M0,g,gv,ch,cl,GammaTot,BRWH,BRWZ,BRlnu,BRjets
3000.0,0.6534,1.0,-7.5,-2.3423,911.5003,0.34309804,0.3822234,0.045816317,0.20583074
3000.0,0.6534,1.0,-7.25,-2.3423,859.645,0.3371352,0.3724707,0.048439354,0.21761477
3000.0,0.6534,1.0,-7.0,-2.3423,810.82983,0.33060992,0.36241075,0.05120753,0.23005088
3000.0,0.6534,1.0,-6.75,-2.3423,764.8508,0.32350188,0.35200915,0.05412999,0.24318008
3000.0,0.6534,1.0,-6.5,-2.3423,721.5289,0.31578973,0.34123224,0.057215918,0.25704366
3000.0,0.6534,1.0,-6.25,-2.3423,680.7056,0.30745164,0.3300474,0.060474396,0.27168244
3000.0,0.6534,1.0,-6.0,-2.3423,642.2405,0.29846597,0.31842348,0.063914225,0.28713596
3000.0,0.6534,1.0,-5.75,-2.3423,606.0083,0.28881222,0.30633143,0.06754369,0.3034414
3000.0,0.6534,1.0,-5.5,-2.3423,571.89734,0.27847195,0.29374516,0.071370214,0.32063213
3000.0,0.6534,1.0,-5.25,-2.3423,539.8073,0.26743004,0.28064272,0.075399995,0.338736
3000.0,0.6534,1.0,-5.0,-2.3423,509.6484,0.2556764,0.2670075,0.07963748,0.35777304
3000.0,0.6534,1.0,-4.75,-2.3423,481.33966,0.24320756,0.25283012,0.084084824,0.37775278
3000.0,0.6534,1.0,-4.5,-2.3423,454.8082,0.2300292,0.23811042,0.088741094,0.39867115
3000.0,0.6534,1.0,-4.25,-2.3423,429.98828,0.21615851,0.22285993,0.093601495,0.42050663
3000.0,0.6534,1.0,-4.0,-2.3423,406.82056,0.20162731,0.2071046,0.0986564,0.4432159
3000.0,0.6534,1.0,-3.75,-2.3423,385.25153,0.18648519,0.19088794,0.10389026,0.4667291
3000.0,0.6534,1.0,-3.5,-2.3423,365.23285,0.17080317,0.17427446,0.10928046,0.49094468
3000.0,0.6534,1.0,-3.25,-2.3423,346.72104,0.15467727,0.15735297,0.11479615,0.51572406
3000.0,0.6534,1.0,-3.0,-2.3423,329.67688,0.13823196,0.14024006,0.1203971,0.5408864
3000.0,0.6534,1.0,-2.75,-2.3423,314.0653,0.12162319,0.12308279,0.12603272,0.5662046
3000.0,0.6534,1.0,-2.5,-2.3423,299.85483,0.1050404,0.10606078,0.13164145,0.5914019
3000.0,0.6534,1.0,-2.25,-2.3423,287.01755,0.08870715,0.08938674,0.13715044,0.61615115
3000.0,0.6534,1.0,-2.0,-2.3423,275.5287,0.07287969,0.07330503,0.14247614,0.640077
3000.0,0.6534,1.0,-1.75,-2.3423,265.3666,0.057842866,0.058087878,0.14752561,0.6627618
3000.0,0.6534,1.0,-1.5,-2.3423,256.5125,0.043903064,0.04402845,0.15219873,0.68375593
3000.0,0.6534,1.0,-1.25,-2.3423,248.95032,0.03137779,0.03143093,0.15639178,0.70259327
3000.0,0.6534,1.0,-1.0,-2.3423,242.66664,0.020582192,0.020597553,0.16000171,0.7188109
3000.0,0.6534,1.0,-0.75,-2.3423,237.65057,0.011813104,0.0118132485,0.16293141,0.7319727
3000.0,0.6534,1.0,-0.5,-2.3423,233.89374,0.0053317784,0.0053290585,0.16509539,0.7416944
3000.0,0.6534,1.0,-0.25,-2.3423,231.39014,0.0013469378,0.0013458314,0.16642527,0.7476689
3000.0,0.6534,1.0,0.0,-2.3423,230.13615,0.0,0.0,0.1668747,0.74968797
3000.0,0.6534,1.0,0.25,-2.3423,230.13055,0.0013543026,0.0013532037,0.16642281,0.7476579
3000.0,0.6534,1.0,0.5,-2.3423,231.37448,0.005389779,0.005387142,0.165076,0.7416073
3000.0,0.6534,1.0,0.75,-2.3423,233.87143,0.0120038465,0.0120044,0.16286767,0.7316863
3000.0,0.6534,1.0,1.0,-2.3423,237.62733,0.021018434,0.021035174,0.15985586,0.7181557
3000.0,0.6534,1.0,1.25,-2.3423,242.65062,0.03219222,0.03224901,0.1561193,0.70136917
3000.0,0.6534,1.0,1.5,-2.3423,248.95226,0.045236513,0.045370076,0.15175223,0.68175
