M0,g,gv,ch,cl,GammaTot,BRWH,BRWZ,BRlnu,BRjets
4000.0,0.6534,1.0,-7.5,2.81075,1236.351,0.32057127,0.34000728,0.056599203,0.25445828
4000.0,0.6534,1.0,-7.25,2.81075,1178.639,0.31288645,0.33044127,0.05947667,0.26739478
4000.0,0.6534,1.0,-7.0,2.81075,1123.6558,0.30471188,0.32050025,0.062498372,0.28097972
4000.0,0.6534,1.0,-6.75,2.81075,1071.3029,0.29603365,0.31016722,0.06566946,0.2952363
4000.0,0.6534,1.0,-6.5,2.81075,1021.49005,0.28683951,0.299427,0.06899454,0.31018513
4000.0,0.6534,1.0,-6.25,2.81075,974.13416,0.27711934,0.2882669,0.07247738,0.32584327
4000.0,0.6534,1.0,-6.0,2.81075,929.1588,0.26686615,0.27667734,0.076120764,0.34222317
4000.0,0.6534,1.0,-5.75,2.81075,886.4936,0.25607678,0.2646528,0.07992613,0.3593313
4000.0,0.6534,1.0,-5.5,2.81075,846.07367,0.24475314,0.25219274,0.08389326,0.37716672
4000.0,0.6534,1.0,-5.25,2.81075,807.83923,0.23290321,0.23930275,0.088019885,0.39571914
4000.0,0.6534,1.0,-5.0,2.81075,771.7351,0.22054249,0.22599584,0.09230124,0.41496727
4000.0,0.6534,1.0,-4.75,2.81075,737.7105,0.20769536,0.2122938,0.09672964,0.43487644
4000.0,0.6534,1.0,-4.5,2.81075,705.7187,0.19439663,0.19822864,0.10129394,0.45539656
4000.0,0.6534,1.0,-4.25,2.81075,675.7165,0.18069315,0.18384421,0.105978996,0.4764596
4000.0,0.6534,1.0,-4.0,2.81075,647.6644,0.16664541,0.1691976,0.110765204,0.4979774
4000.0,0.6534,1.0,-3.75,2.81075,621.52606,0.15232892,0.15436068,0.11562798,0.51983947
4000.0,0.6534,1.0,-3.5,2.81075,597.2682,0.13783558,0.1394212,0.12053737,0.541911
4000.0,0.6534,1.0,-3.25,2.81075,574.8603,0.12327442,0.12448363,0.12545775,0.564032
4000.0,0.6534,1.0,-3.0,2.81075,554.2748,0.10877212,0.10966962,0.13034768,0.5860162
4000.0,0.6534,1.0,-2.75,2.81075,535.4864,0.09447251,0.095117524,0.13516013,0.60765195
4000.0,0.6534,1.0,-2.5,2.81075,518.47253,0.08053545,0.080981255,0.13984275,0.628704
4000.0,0.6534,1.0,-2.25,2.81075,503.21277,0.0671345,0.067428075,0.14433868,0.6489168
4000.0,0.6534,1.0,-2.0,2.81075,489.689,0.054453537,0.054635305,0.14858769,0.6680194
