M0,g,gv,ch,cl,GammaTot,BRWH,BRWZ,BRlnu,BRjets
4000.0,0.6534,1.0,-7.5,3.74767,1550.5299,0.25571683,0.27133834,0.07887083,0.3545869
4000.0,0.6534,1.0,-7.25,3.74767,1493.627,0.24699047,0.26094997,0.08205919,0.3689211
4000.0,0.6534,1.0,-7.0,3.74767,1439.4684,0.23793513,0.25035134,0.0853375,0.3836597
4000.0,0.6534,1.0,-6.75,3.74767,1387.9541,0.22856039,0.23954788,0.08870323,0.39879134
4000.0,0.6534,1.0,-6.5,3.74767,1338.9924,0.2188788,0.22854821,0.092152886,0.41430026
4000.0,0.6534,1.0,-6.25,3.74767,1292.4988,0.20890623,0.21736431,0.095681794,0.43016553
4000.0,0.6534,1.0,-6.0,3.74767,1248.3959,0.19866227,0.20601192,0.099284075,0.44636062
4000.0,0.6534,1.0,-5.75,3.74767,1206.6123,0.18817061,0.1945109,0.102952465,0.46285293
4000.0,0.6534,1.0,-5.5,3.74767,1167.0822,0.17745946,0.18288551,0.1066782,0.47960308
4000.0,0.6534,1.0,-5.25,3.74767,1129.745,0.16656183,0.17116478,0.11045095,0.4965646
4000.0,0.6534,1.0,-5.0,3.74767,1094.5452,0.1555158,0.1593827,0.11425868,0.5136833
4000.0,0.6534,1.0,-4.75,3.74767,1061.4312,0.14436491,0.14757852,0.11808759,0.5308973
4000.0,0.6534,1.0,-4.5,3.74767,1030.3556,0.13315809,0.13579682,0.12192207,0.54813635
4000.0,0.6534,1.0,-4.25,3.74767,1001.27527,0.121949926,0.12408752,0.1257447,0.5653221
4000.0,0.6534,1.0,-4.0,3.74767,974.15,0.110800415,0.11250587,0.12953626,0.58236814
4000.0,0.6534,1.0,-3.75,3.74767,948.9433,0.09977482,0.101112165,0.13327579,0.5991803
4000.0,0.6534,1.0,-3.5,3.74767,925.62146,0.088943236,0.08997136,0.13694078,0.6156573
4000.0,0.6534,1.0,-3.25,3.74767,904.15393,0.07838,0.07915252,0.1405073,0.6316917
4000.0,0.6534,1.0,-3.0,3.74767,884.51276,0.0681629,0.06872801,0.1439503,0.6471707
4000.0,0.6534,1.0,-2.75,3.74767,866.6727,0.058372177,0.058772612,0.14724395,0.66197824
4000.0,0.6534,1.0,-2.5,3.74767,850.61096,0.049089313,0.049362365,0.15036196,0.6759961
4000.0,0.6534,1.0,-2.25,3.74767,836.30695,0.040395696,0.040573232,0.15327807,0.6891064
4000.0,0.6534,1.0,-2.0,3.74767,823.7425,0.032371067,0.032479703,0.15596657,0.70119333
4000.0,0.6534,1.0,-1.75,3.74767,812.9016,0.025091905,0.025153214,0.15840277,0.71214604
4000.0,0.6534,1.0,-1.5,3.74767,803.7702,0.018629743,0.018660588,0.16056362,0.72186077
4000.0,0.6534,1.0,-1.25,3.74767,796.33636,0.0130494945,0.013062433,0.16242817,0.7302434
4000.0,0.6534,1.0,-1.0,3.74767,790.5901,0.008407863,0.008411642,0.16397814,0.7372117
4000.0,0.6534,1.0,-0.75,3.74767,786.5232,0.004751899,0.004752035,0.16519837,0.74269766
4000.0,0.6534,1.0,-0.5,3.74767,784.12946,0.0021177744,0.0021171987,0.16607723,0.7466488
4000.0,0.6534,1.0,-0.25,3.74767,783.4045,0.00052983983,0.0005295999,0.1666069,0.7490301
4000.0,0.6534,1.0,0.0,3.74767,784.3456,0.0,0.0,0.16678362,0.7498246
4000.0,0.6534,1.0,0.25,3.74767,786.95197,0.00052745285,0.00052721135,0.16660771,0.7490337
4000.0,0.6534,1.0,0.5,3.74767,791.22455,0.0020987946,0.0020982015,0.16608356,0.7466773
4000.0,0.6534,1.0,0.75,3.74767,797.166,0.0046884855,0.0046885395,0.16521955,0.7427928
4000.0,0.6534,1.0,1.0,3.74767,804.7809,0.008259654,0.008263157,0.16402763,0.7374342
4000.0,0.6534,1.0,1.25,3.74767,814.0754,0.012765182,0.012777383,0.16252315,0.7306704
4000.0,0.6534,1.0,1.5,3.74767,825.0576,0.018149039,0.018178204,0.16072427,0.722583
4000.0,0.6534,1.0,1.75,3.74767,837.7375,0.024347767,0.024405675,0.15865159,0.71326464
4000.0,0.6534,1.0,2.0,3.74767,852.1268,0.03129208,0.03139443,0.15632758,0.70281637
4000.0,0.6534,1.0,2.25,3.74767,868.23914,0.03890849,0.03907522,0.153776,0.69134504
4000.0,0.6534,1.0,2.5,3.74767,886.0903,0.04712089,0.047376424,0.15102156,0.67896163
4000.0,0.6534,1.0,2.75,3.74767,905.6978,0.055852093,0.056225475,0.14808919,0.6657783
4000.0,0.6534,1.0,3.0,3.74767,927.08154,0.06502517,0.06555016,0.14500378,0.6519069
4000.0,0.6534,1.0,3.25,3.74767,950.2634,0.07456472,0.07527982,0.14178969,0.6374571
4000.0,0.6534,1.0,3.5,3.74767,975.2676,0.08439786,0.08534624,0.13847046,0.6225345
4000.0,0.6534,1.0,3.75,3.74767,1002.12067,0.09445515,0.09568455,0.13506849,0.60723996
4000.0,0.6534,1.0,4.0,3.74767,1030.8518,0.10467118,0.10623384,0.13160485,0.5916681
4000.0,0.6534,1.0,4.25,3.74767,1061.4924,0.11498511,0.11693757,0.12809913,0.5759071
4000.0,0.6534,1.0,4.5,3.74767,1094.0771,0.12534094,0.1277439,0.1245693,0.56003773
4000.0,0.6534,1.0,4.75,3.74767,1128.6433,0.13568772,0.13860588,0.121031694,0.5441334
