M0,g,gv,ch,cl,GammaTot,BRWH,BRWZ,BRlnu,BRjets
3000.0,0.6534,3.0,-2.5,11.24302,1189.7826,0.26514533,0.29815102,0.072857656,0.32731447
3000.0,0.6534,3.0,-2.41667,11.24302,1138.9756,0.2564019,0.28561938,0.07640867,0.34326747
3000.0,0.6534,3.0,-2.33333,11.24302,1091.5162,0.24723597,0.27299336,0.08004594,0.359608
3000.0,0.6534,3.0,-2.25,11.24302,1047.1572,0.23766859,0.26027197,0.08376611,0.37632096
3000.0,0.6534,3.0,-2.16667,11.24302,1005.66876,0.2277201,0.24745473,0.087565884,0.39339152
3000.0,0.6534,3.0,-2.08333,11.24302,966.85156,0.21741374,0.23454623,0.09144062,0.41079882
3000.0,0.6534,3.0,-2.0,11.24302,930.5447,0.20678005,0.22156085,0.0953828,0.42850918
3000.0,0.6534,3.0,-1.91667,11.24302,896.59357,0.19584996,0.2085137,0.099384755,0.44648802
3000.0,0.6534,3.0,-1.83333,11.24302,864.8626,0.18465875,0.19542538,0.10343715,0.46469352
3000.0,0.6534,3.0,-1.75,11.24302,835.2424,0.17325062,0.18232675,0.10752747,0.48306933
3000.0,0.6534,3.0,-1.66667,11.24302,807.62506,0.16167086,0.16924971,0.111642815,0.50155765
3000.0,0.6534,3.0,-1.58333,11.24302,781.9152,0.1499701,0.15623194,0.11576846,0.5200922
3000.0,0.6534,3.0,-1.5,11.24302,758.0365,0.13820858,0.14332151,0.11988633,0.5385918
3000.0,0.6534,3.0,-1.41667,11.24302,735.912,0.12644772,0.13056737,0.123978,0.5569737
3000.0,0.6534,3.0,-1.33333,11.24302,715.4732,0.11475415,0.11802387,0.12802327,0.57514715
3000.0,0.6534,3.0,-1.25,11.24302,696.66614,0.10320353,0.10575474,0.13199888,0.5930077
3000.0,0.6534,3.0,-1.16667,11.24302,679.4353,0.09187156,0.09382351,0.1358816,0.61045086
3000.0,0.6534,3.0,-1.08333,11.24302,663.7317,0.08083755,0.08229744,0.13964696,0.62736684
3000.0,0.6534,3.0,-1.0,11.24302,649.51685,0.0701873,0.07125059,0.14326829,0.6436357
3000.0,0.6534,3.0,-0.91667,11.24302,636.7511,0.060004048,0.060754415,0.14671975,0.6591415
3000.0,0.6534,3.0,-0.83333,11.24302,625.39984,0.050371304,0.050880995,0.1499754,0.67376757
3000.0,0.6534,3.0,-0.75,11.24302,615.43634,0.04137463,0.04170489,0.15300849,0.6873938
3000.0,0.6534,3.0,-0.66667,11.24302,606.8332,0.03309312,0.03329461,0.15579441,0.69990957
3000.0,0.6534,3.0,-0.58333,11.24302,599.567,0.025601601,0.025715051,0.15830982,0.7112101
3000.0,0.6534,3.0,-0.5,11.24302,593.6201,0.018971317,0.01902834,0.16053246,0.72119534
3000.0,0.6534,3.0,-0.41667,11.24302,588.9751,0.013262965,0.013286929,0.16244346,0.72978055
3000.0,0.6534,3.0,-0.33333,11.24302,585.61804,0.008528452,0.008535535,0.16402668,0.7368932
3000.0,0.6534,3.0,-0.25,11.24302,583.53864,0.0048108706,0.004811224,0.16526875,0.74247324
3000.0,0.6534,3.0,-0.16667,11.24302,582.72815,0.002140096,0.0021390961,0.1661605,0.7464794
3000.0,0.6534,3.0,-0.08333,11.24302,583.1807,0.00053437706,0.000533953,0.1666964,0.74888694
3000.0,0.6534,3.0,0.0,11.24302,584.89276,0.0,0.0,0.1668747,0.74968797
3000.0,0.6534,3.0,0.08333,11.24302,587.8633,0.0005301251,0.0005296961,0.16669782,0.7488933
3000.0,0.6534,3.0,0.16667,11.24302,592.0941,0.002106276,0.0021052223,0.16617179,0.7465302
3000.0,0.6534,3.0,0.25,11.24302,597.58795,0.004697859,0.00469795,0.16530652,0.7426429
3000.0,0.6534,3.0,0.33333,11.24302,604.35126,0.0082642445,0.008270447,0.16411503,0.7372901
3000.0,0.6534,3.0,0.41667,11.24302,612.3935,0.012755908,0.01277752,0.16261311,0.7305427
3000.0,0.6534,3.0,0.5,11.24302,621.72375,0.018113643,0.018165302,0.16081966,0.7224856
3000.0,0.6534,3.0,0.58333,11.24302,632.3563,0.024273282,0.02437585,0.15875505,0.71321034
3000.0,0.6534,3.0,0.66667,11.24302,644.3087,0.031166036,0.031347368,0.15644108,0.70281476
3000.0,0.6534,3.0,0.75,11.24302,657.59686,0.038717106,0.039012633,0.15390144,0.69140536
3000.0,0.6534,3.0,0.83333,11.24302,672.2436,0.046852138,0.047305364,0.15115961,0.67908764
3000.0,0.6534,3.0,0.91667,11.24302,688.2756,0.05549639,0.056159303,0.14823912,0.6659673
3000.0,0.6534,3.0,1.0,11.24302,705.7166,0.06457259,0.065505795,0.14516434,0.65215373
3000.0,0.6534,3.0,1.08333,11.24302,724.59973,0.074008174,0.07528119,0.14195798,0.63774914
3000.0,0.6534,3.0,1.16667,11.24302,744.96216,0.083733365,0.08542467,0.13864186,0.6228514
3000.0,0.6534,3.0,1.25,11.24302,766.8376,0.09367814,0.09587511,0.13523786,0.60755885
3000.0,0.6534,3.0,1.33333,11.24302,790.27124,0.10377984,0.10657884,0.13176538,0.59195864
3000.0,0.6534,3.0,1.41667,11.24302,815.3137,0.11398013,0.117486574,0.1282424,0.57613164
3000.0,0.6534,3.0,1.5,11.24302,842.0116,0.12422153,0.12854956,0.12468665,0.5601573
3000.0,0.6534,3.0,1.58333,11.24302,870.4257,0.13445488,0.1397276,0.12111304,0.5441028
3000.0,0.6534,3.0,1.66667,11.24302,900.6241,0.14463562,0.15098524,0.11753492,0.528028
3000.0,0.6534,3.0,1.75,11.24302,932.6706,0.15472014,0.16228753,0.11396541,0.5119919
3000.0,0.6534,3.0,1.83333,11.24302,966.6473,0.1646729,0.17360821,0.11041481,0.4960408
3000.0,0.6534,3.0,1.91667,11.24302,1002.64594,0.17446244,0.18492533,0.10689205,0.4802147
3000.0,0.6534,3.0,2.0,11.24302,1040.7549,0.18405773,0.19621713,0.10340593,0.46455324
3000.0,0.6534,3.0,2.08333,11.24302,1081.086,0.19343486,0.20746993,0.099962726,0.44908458
3000.0,0.6534,3.0,2.16667,11.24302,1123.7654,0.20257315,0.21867387,0.09656754,0.43383163
3000.0,0.6534,3.0,2.25,11.24302,1168.9172,0.21145152,0.22981872,0.0932256,0.41881788
3000.0,0.6534,3.0,2.33333,11.24302,1216.6982,0.22005482,0.24090171,0.08993988,0.4040567
3000.0,0.6534,3.0,2.41667,11.24302,1267.2852,0.22837006,0.25192344,0.08671246,0.38955745
3000.0,0.6534,3.0,2.5,11.24302,1320.8594,0.23638313,0.26288375,0.083545715,0.37533084
