M0,g,gv,ch,cl,GammaTot,BRWH,BRWZ,BRlnu,BRjets
4000.0,0.6534,1.0,-7.5,-3.27921,1453.3677,0.2721017,0.2879076,0.07337447,0.32987642
4000.0,0.6534,1.0,-7.25,-3.27921,1394.0706,0.2640157,0.27823067,0.07633732,0.34319678
4000.0,0.6534,1.0,-7.0,-3.27921,1337.4316,0.25556138,0.26828846,0.07940586,0.3569923
4000.0,0.6534,1.0,-6.75,-3.27921,1283.3625,0.24673839,0.25807777,0.08258067,0.3712656
4000.0,0.6534,1.0,-6.5,-3.27921,1231.7819,0.23754863,0.2475979,0.08586156,0.3860158
4000.0,0.6534,1.0,-6.25,-3.27921,1182.614,0.22799687,0.23685093,0.08924738,0.40123773
4000.0,0.6534,1.0,-6.0,-3.27921,1135.7892,0.21809117,0.22584239,0.09273587,0.41692123
4000.0,0.6534,1.0,-5.75,-3.27921,1091.2429,0.20784353,0.21458162,0.09632346,0.4330503
4000.0,0.6534,1.0,-5.5,-3.27921,1048.9153,0.19727041,0.20308252,0.10000509,0.44960216
4000.0,0.6534,1.0,-5.25,-3.27921,1008.7508,0.18639345,0.19136398,0.103774,0.46654642
4000.0,0.6534,1.0,-5.0,-3.27921,970.6983,0.1752401,0.17945059,0.10762152,0.48384404
4000.0,0.6534,1.0,-4.75,-3.27921,934.71027,0.16384432,0.16737333,0.11153681,0.50144637
4000.0,0.6534,1.0,-4.5,-3.27921,900.74274,0.15224715,0.15517007,0.1155067,0.5192942
4000.0,0.6534,1.0,-4.25,-3.27921,868.75507,0.14049743,0.14288624,0.11951548,0.5373168
4000.0,0.6534,1.0,-4.0,-3.27921,838.70984,0.12865223,0.13057525,0.12354471,0.5554314
4000.0,0.6534,1.0,-3.75,-3.27921,810.5725,0.11677724,0.118298896,0.12757313,0.57354236
4000.0,0.6534,1.0,-3.5,-3.27921,784.3113,0.104947016,0.106127515,0.13157658,0.59154105
4000.0,0.6534,1.0,-3.25,-3.27921,759.89703,0.09324489,0.09413997,0.135528,0.6093058
4000.0,0.6534,1.0,-3.0,-3.27921,737.30316,0.08176266,0.08242335,0.13939755,0.6267025
