M0,g,gv,ch,cl,GammaTot,BRWW,BRhZ,BRll,BRnunu,BRtt,BRjets
3000.0,0.6534,3.0,-2.5,-1.40538,673.6167,0.51875806,0.46646756,0.0012113709,0.0018816203,0.0018195754,0.011075738
3000.0,0.6534,3.0,-2.41667,-1.40538,621.9878,0.516019,0.46802652,0.001309034,0.0020305058,0.0019653847,0.011960401
3000.0,0.6534,3.0,-2.33333,-1.40538,573.4746,0.51334697,0.46939793,0.0014167101,0.0021945555,0.0021261107,0.012935463
3000.0,0.6534,3.0,-2.25,-1.40538,527.8698,0.5107252,0.47058102,0.0015358496,0.0023759606,0.002303912,0.014014005
3000.0,0.6534,3.0,-2.16667,-1.40538,484.97592,0.5081355,0.47157288,0.001668215,0.0025773821,0.0025014123,0.015211912
3000.0,0.6534,3.0,-2.08333,-1.40538,444.61987,0.50555843,0.47236755,0.0018159122,0.0028020001,0.002721745,0.01654817
3000.0,0.6534,3.0,-2.0,-1.40538,406.66257,0.5029737,0.47295564,0.0019814123,0.0030535439,0.0029685877,0.018045051
3000.0,0.6534,3.0,-1.91667,-1.40538,370.96698,0.50035757,0.47332418,0.002167762,0.0033366103,0.0032464736,0.019730007
3000.0,0.6534,3.0,-1.83333,-1.40538,337.41187,0.49768305,0.47345558,0.0023786786,0.0036568062,0.0035609328,0.021636534
3000.0,0.6534,3.0,-1.75,-1.40538,305.9004,0.49491945,0.4733267,0.0026186416,0.004020885,0.0039186287,0.023804981
3000.0,0.6534,3.0,-1.66667,-1.40538,276.3346,0.49202913,0.47290757,0.0028932805,0.0044373325,0.004327935,0.026286053
3000.0,0.6534,3.0,-1.58333,-1.40538,248.62715,0.4889664,0.4721592,0.0032096358,0.0049167583,0.004799323,0.029143156
3000.0,0.6534,3.0,-1.5,-1.40538,222.70917,0.48567617,0.47103173,0.003576458,0.005472341,0.0053458055,0.032455076
3000.0,0.6534,3.0,-1.41667,-1.40538,198.50923,0.48208806,0.46946004,0.004005023,0.0061210617,0.0059841475,0.036323316
3000.0,0.6534,3.0,-1.33333,-1.40538,175.96358,0.47811246,0.46735916,0.004509872,0.006884809,0.0067359707,0.040878776
3000.0,0.6534,3.0,-1.25,-1.40538,155.02258,0.47363526,0.46461818,0.005109751,0.0077917916,0.007629142,0.046290148
3000.0,0.6534,3.0,-1.16667,-1.40538,135.63391,0.46850508,0.46108896,0.0058296174,0.008879548,0.008700757,0.05278198
3000.0,0.6534,3.0,-1.08333,-1.40538,117.75094,0.46252012,0.45657218,0.0067028995,0.010198345,0.0100005,0.06065501
3000.0,0.6534,3.0,-1.0,-1.40538,101.338005,0.45540988,0.45079833,0.0077746063,0.011815831,0.011595255,0.070314035
3000.0,0.6534,3.0,-0.91667,-1.40538,86.35708,0.44680002,0.44339362,0.009107115,0.01382572,0.013577702,0.082319975
3000.0,0.6534,3.0,-0.83333,-1.40538,72.77469,0.43616742,0.4338341,0.010787735,0.016359126,0.016077552,0.097457744
3000.0,0.6534,3.0,-0.75,-1.40538,60.56573,0.42277586,0.42138043,0.012939546,0.019600783,0.01927762,0.11683358
3000.0,0.6534,3.0,-0.66667,-1.40538,49.703476,0.40556604,0.40496823,0.015739746,0.023816492,0.023441058,0.14203963
3000.0,0.6534,3.0,-0.58333,-1.40538,40.164967,0.3830127,0.38306352,0.019443667,0.029388998,0.02894696,0.17536926
3000.0,0.6534,3.0,-0.5,-1.40538,31.933552,0.3529567,0.35349363,0.024413038,0.036860023,0.036332242,0.2200701
3000.0,0.6534,3.0,-0.41667,-1.40538,24.991867,0.3124639,0.3133055,0.031139797,0.046965286,0.046326745,0.28055564
3000.0,0.6534,3.0,-0.33333,-1.40538,19.32585,0.25810507,0.25904736,0.040199697,0.060563542,0.059783917,0.3619845
