M0,g,gv,ch,cl,GammaTot,BRWW,BRhZ,BRll,BRnunu,BRtt,BRjets
3000.0,0.6534,1.0,-7.5,-1.87384,820.3637,0.42436624,0.3823068,0.016061412,0.024300514,0.02391924,0.14493436
3000.0,0.6534,1.0,-7.25,-1.87384,768.7273,0.41614574,0.37806273,0.01709984,0.0258629,0.0254629,0.15427889
3000.0,0.6534,1.0,-7.0,-1.87384,720.14874,0.4076202,0.3732582,0.01821048,0.027533619,0.0271138,0.16427228
3000.0,0.6534,1.0,-6.75,-1.87384,674.4208,0.3987438,0.36786193,0.019399768,0.029322306,0.028881498,0.17497233
3000.0,0.6534,1.0,-6.5,-1.87384,631.3613,0.3894689,0.3618387,0.020674625,0.031239321,0.030776262,0.18644114
3000.0,0.6534,1.0,-6.25,-1.87384,590.8097,0.37974578,0.35514957,0.022042464,0.033295754,0.03280909,0.19874522
3000.0,0.6534,1.0,-6.0,-1.87384,552.6235,0.36952245,0.34775206,0.02351117,0.0355034,0.03499168,0.21195534
3000.0,0.6534,1.0,-5.75,-1.87384,516.6759,0.35874507,0.33960044,0.02508907,0.0378747,0.03733639,0.22614618
3000.0,0.6534,1.0,-5.5,-1.87384,482.8539,0.34735808,0.33064628,0.026784861,0.040422652,0.039856117,0.24139571
3000.0,0.6534,1.0,-5.25,-1.87384,451.05627,0.33530483,0.32083917,0.028607493,0.043160614,0.042564124,0.25778416
3000.0,0.6534,1.0,-5.0,-1.87384,421.19217,0.32252878,0.31012788,0.030565986,0.046102032,0.045473784,0.27539235
3000.0,0.6534,1.0,-4.75,-1.87384,393.17993,0.30897483,0.29846206,0.03266917,0.049260058,0.04859818,0.2942993
3000.0,0.6534,1.0,-4.5,-1.87384,366.94614,0.29459152,0.28579453,0.034925316,0.052646987,0.05194956,0.314579
3000.0,0.6534,1.0,-4.25,-1.87384,342.42447,0.27933395,0.27208424,0.037341636,0.0562735,0.055538587,0.33629587
3000.0,0.6534,1.0,-4.0,-1.87384,319.55524,0.26316774,0.2573006,0.039923612,0.06014766,0.059373353,0.35949862
3000.0,0.6534,1.0,-3.75,-1.87384,298.28458,0.2460741,0.24142846,0.04267412,0.06427361,0.06345807,0.38421267
3000.0,0.6534,1.0,-3.5,-1.87384,278.56387,0.2280563,0.2244752,0.045592356,0.06864992,0.06779148,0.41043007
3000.0,0.6534,1.0,-3.25,-1.87384,260.34946,0.20914753,0.20647858,0.048672475,0.07326759,0.07236481,0.4380976
3000.0,0.6534,1.0,-3.0,-1.87384,243.60194,0.18942024,0.18751648,0.05190202,0.07810768,0.077159494,0.4671026
3000.0,0.6534,1.0,-2.75,-1.87384,228.28609,0.16899656,0.1677177,0.05526014,0.08313864,0.082144484,0.49725693
3000.0,0.6534,1.0,-2.5,-1.87384,214.37035,0.14805931,0.14727329,0.058715742,0.088313535,0.08727349,0.52828026
3000.0,0.6534,1.0,-2.25,-1.87384,201.82669,0.12686239,0.12644726,0.06222571,0.09356741,0.0924824,0.5597844
3000.0,0.6534,1.0,-2.0,-1.87384,190.63036,0.1057389,0.10558503,0.065733515,0.0988152,0.09768719,0.5912606
3000.0,0.6534,1.0,-1.75,-1.87384,180.75961,0.0851047,0.08511697,0.06916861,0.10395091,0.102783024,0.62207454
3000.0,0.6534,1.0,-1.5,-1.87384,172.19565,0.06545463,0.06555463,0.072447084,0.1088485,0.10764523,0.6514717
3000.0,0.6534,1.0,-1.25,-1.87384,164.9224,0.04734879,0.047476463,0.07547394,0.11336547,0.112132736,0.6785984
3000.0,0.6534,1.0,-1.0,-1.87384,158.92647,0.031386755,0.031501375,0.07814747,0.11734937,0.116094545,0.70254135
3000.0,0.6534,1.0,-0.75,-1.87384,154.19696,0.01816971,0.018249556,0.08036567,0.1206475,0.11937927,0.72238475
3000.0,0.6534,1.0,-0.5,-1.87384,150.7255,0.008252715,0.008293358,0.082034335,0.12311897,0.12184712,0.7372835
3000.0,0.6534,1.0,-0.25,-1.87384,148.5061,0.0020926886,0.002103661,0.08307583,0.12464796,0.123383045,0.746542
3000.0,0.6534,1.0,0.0,-1.87384,147.5352,0.0,0.0,0.08343735,0.12515603,0.12390886,0.74968797
3000.0,0.6534,1.0,0.25,-1.87384,147.81154,0.002102521,0.0021135465,0.08309702,0.124611154,0.12339233,0.7465273
3000.0,0.6534,1.0,0.5,-1.87384,149.33627,0.008329491,0.008370517,0.0820666,0.123031855,0.12185122,0.73716825
3000.0,0.6534,1.0,0.75,-1.87384,152.11293,0.01841874,0.018499656,0.08039036,0.12048528,0.119351484,0.72201085
3000.0,0.6534,1.0,1.0,-1.87384,156.14743,0.031945832,0.03206231,0.078140065,0.11707981,0.11599996,0.701702
3000.0,0.6534,1.0,1.25,-1.87384,161.44818,0.048369195,0.04849897,0.07540742,0.11295349,0.111932985,0.6770673
3000.0,0.6534,1.0,1.5,-1.87384,168.02612,0.06708263,0.06718339,0.072295144,0.108260766,0.10730322,0.64903057
3000.0,0.6534,1.0,1.75,-1.87384,175.89484,0.087466456,0.087475315,0.06890829,0.103159405,0.10226673,0.6185364
3000.0,0.6534,1.0,2.0,-1.87384,185.07063,0.108930565,0.10876483,0.06534698,0.097799614,0.09697223,0.58648455
3000.0,0.6534,1.0,2.25,-1.87384,195.57272,0.1309455,0.13050435,0.061701108,0.09231615,0.09155316,0.5536824
3000.0,0.6534,1.0,2.5,-1.87384,207.42336,0.1530609,0.15222763,0.058047228,0.08682363,0.08612316,0.52081704
3000.0,0.6534,1.0,2.75,-1.87384,220.64803,0.17491253,0.17355692,0.054447316,0.08141479,0.080774195,0.4884448
3000.0,0.6534,1.0,3.0,-1.87384,235.27573,0.19622076,0.19420147,0.05094907,0.07616088,0.07557698,0.4569933
3000.0,0.6534,1.0,3.25,-1.87384,251.33916,0.21678324,0.21394978,0.04758712,0.07111354,0.070582874,0.42677277
3000.0,0.6534,1.0,3.5,-1.87384,268.8751,0.2364643,0.23265882,0.04438481,0.066307515,0.06582644,0.39799216
3000.0,0.6534,1.0,3.75,-1.87384,287.92468,0.25518346,0.25024194,0.041356184,0.061763573,0.061328433,0.37077677
