M0,g,gv,ch,cl,GammaTot,BRWW,BRhZ,BRll,BRnunu,BRtt,BRjets
3000.0,0.6534,1.0,-7.5,3.74767,1189.6882,0.2975398,0.26582974,0.036527105,0.05450311,0.05415151,0.32733673
3000.0,0.6534,1.0,-7.25,3.74767,1138.8931,0.28503096,0.25706032,0.038302545,0.05716614,0.056788098,0.34328878
3000.0,0.6534,1.0,-7.0,3.74767,1091.4496,0.27242997,0.24786876,0.040120736,0.059893783,0.05948833,0.3596264
3000.0,0.6534,1.0,-6.75,3.74767,1047.0991,0.2597327,0.23827398,0.041980434,0.06268419,0.062250365,0.3763385
3000.0,0.6534,1.0,-6.5,3.74767,1005.61804,0.24694017,0.22829743,0.04387975,0.065534584,0.06507142,0.3934082
3000.0,0.6534,1.0,-6.25,3.74767,966.81165,0.23405841,0.21796365,0.045816127,0.06844114,0.06794769,0.41081265
3000.0,0.6534,1.0,-6.0,3.74767,930.5099,0.22109869,0.20730077,0.047786262,0.07139895,0.070874296,0.42852223
3000.0,0.6534,1.0,-5.75,3.74767,896.5632,0.20807758,0.19634101,0.049786076,0.07440192,0.073845185,0.4465004
3000.0,0.6534,1.0,-5.5,3.74767,864.8396,0.19501714,0.1851211,0.05181065,0.07744272,0.07685306,0.46470308
3000.0,0.6534,1.0,-5.25,3.74767,835.2223,0.18194503,0.17368262,0.053854194,0.080512695,0.07988935,0.4830784
3000.0,0.6534,1.0,-5.0,3.74767,807.6074,0.16889463,0.16207233,0.055910014,0.083601825,0.0829441,0.50156623
3000.0,0.6534,1.0,-4.75,3.74767,781.90265,0.15590504,0.15034236,0.057970487,0.08669871,0.08600602,0.52009815
3000.0,0.6534,1.0,-4.5,3.74767,758.0254,0.14302112,0.13855028,0.060027063,0.08979055,0.08906241,0.53859746
3000.0,0.6534,1.0,-4.25,3.74767,735.9021,0.13029324,0.12675905,0.06207027,0.092863165,0.092099205,0.5569792
3000.0,0.6534,1.0,-4.0,3.74767,715.46674,0.117777094,0.11503689,0.06408977,0.09590106,0.09510107,0.5751503
3000.0,0.6534,1.0,-3.75,3.74767,696.6603,0.10553329,0.10345679,0.06607441,0.09888751,0.09805144,0.59301084
3000.0,0.6534,1.0,-3.5,3.74767,679.42993,0.0936267,0.092096046,0.06801233,0.10180473,0.1009327,0.6104541
3000.0,0.6534,1.0,-3.25,3.74767,663.7285,0.08212581,0.081035465,0.069891065,0.10463403,0.10372636,0.6273681
3000.0,0.6534,1.0,-3.0,3.74767,649.51373,0.07110176,0.0703584,0.07169775,0.10735607,0.10641327,0.6436372
3000.0,0.6534,1.0,-2.75,3.74767,636.7481,0.060627252,0.060149625,0.073419236,0.10995112,0.10897392,0.6591432
3000.0,0.6534,1.0,-2.5,3.74767,625.39825,0.050775353,0.05049397,0.07504236,0.112399414,0.11138875,0.67376775
3000.0,0.6534,1.0,-2.25,3.74767,615.43463,0.04161811,0.041474886,0.07655417,0.11468146,0.11363851,0.6873943
3000.0,0.6534,1.0,-2.0,3.74767,606.8314,0.03322511,0.03317284,0.07794217,0.11677845,0.11570461,0.6999104
3000.0,0.6534,1.0,-1.75,3.74767,599.566,0.02566199,0.025663683,0.07919456,0.11867265,0.117569536,0.7112099
3000.0,0.6534,1.0,-1.5,3.74767,593.61896,0.01898893,0.019017024,0.08030055,0.12034777,0.11921721,0.7211955
3000.0,0.6534,1.0,-1.25,3.74767,588.9739,0.013259248,0.013294649,0.081250556,0.121789366,0.12063338,0.729781
3000.0,0.6534,1.0,-1.0,3.74767,585.6171,0.008518088,0.008549093,0.08203645,0.12298518,0.12180597,0.736893
3000.0,0.6534,1.0,-0.75,3.74767,583.53766,0.0048013125,0.0048223967,0.08265178,0.123925395,0.12272534,0.74247324
3000.0,0.6534,1.0,-0.5,3.74767,582.7271,0.0021346123,0.0021451279,0.08309188,0.12460293,0.12338453,0.7464796
3000.0,0.6534,1.0,-0.25,3.74767,583.1796,0.0005328999,0.00053569546,0.08335399,0.12501356,0.12377943,0.7488869
3000.0,0.6534,1.0,0.0,3.74767,584.8917,0.0,0.0,0.08343735,0.12515603,0.12390886,0.74968797
3000.0,0.6534,1.0,0.25,3.74767,587.86237,0.0005286556,0.00053142814,0.08334315,0.12503201,0.12377455,0.74889326
3000.0,0.6534,1.0,0.5,3.74767,592.0928,0.0021008446,0.0021111916,0.08307448,0.12464606,0.12338108,0.74653023
3000.0,0.6534,1.0,0.75,3.74767,597.58673,0.0046883873,0.0047089886,0.08263626,0.12400546,0.12273571,0.7426428
3000.0,0.6534,1.0,1.0,3.74767,604.3503,0.008253811,0.008283948,0.08203505,0.123119965,0.121848166,0.7372897
3000.0,0.6534,1.0,1.25,3.74767,612.39185,0.012751427,0.012785816,0.08127889,0.12200155,0.12073034,0.7305429
3000.0,0.6534,1.0,1.5,3.74767,621.7223,0.01812857,0.018156312,0.08037706,0.12066407,0.119396,0.72248554
3000.0,0.6534,1.0,1.75,3.74767,632.3551,0.02432694,0.024330616,0.07933984,0.119122885,0.117860414,0.71320987
3000.0,0.6534,1.0,2.0,3.74767,644.30634,0.03128399,0.03123889,0.0781783,0.11739455,0.116139986,0.7028152
3000.0,0.6534,1.0,2.25,3.74767,657.59467,0.03893432,0.038807806,0.07690403,0.11549642,0.11425192,0.6914055
3000.0,0.6534,1.0,2.5,3.74767,672.24164,0.04721099,0.046962034,0.07552891,0.11344626,0.11221384,0.6790874
3000.0,0.6534,1.0,2.75,3.74767,688.27185,0.056046795,0.05562558,0.0740649,0.111262,0.1100435,0.6659683
3000.0,0.6534,1.0,3.0,3.74767,705.713,0.06537535,0.06472306,0.07252383,0.10896137,0.10775848,0.6521545
3000.0,0.6534,1.0,3.25,3.74767,724.5961,0.07513211,0.07418073,0.07091724,0.106561676,0.10537589,0.6377497
3000.0,0.6534,1.0,3.5,3.74767,744.956,0.08525516,0.08392745,0.069256224,0.104079574,0.10291224,0.6228535
3000.0,0.6534,1.0,3.75,3.74767,766.8312,0.09568592,0.09389539,0.06755134,0.10153088,0.100383185,0.6075608
3000.0,0.6534,1.0,4.0,3.74767,790.26447,0.10636967,0.104020566,0.06581247,0.09893047,0.09780343,0.5919606
