M0,g,gv,ch,cl,GammaTot,BRWW,BRhZ,BRll,BRnunu,BRtt,BRjets
3000.0,0.6534,3.0,-2.5,11.24302,1189.6891,0.2975396,0.26582953,0.03652714,0.05450316,0.05415156,0.32733703
3000.0,0.6534,3.0,-2.41667,11.24302,1138.8959,0.28503126,0.25706047,0.038302507,0.057166085,0.056788042,0.34328845
3000.0,0.6534,3.0,-2.33333,11.24302,1091.4487,0.27242923,0.24786818,0.040120844,0.059893943,0.05948849,0.3596274
3000.0,0.6534,3.0,-2.25,11.24302,1047.1001,0.25973248,0.23827378,0.041980468,0.062684245,0.062250417,0.3763388
3000.0,0.6534,3.0,-2.16667,11.24302,1005.6205,0.24694046,0.22829764,0.04387971,0.06553452,0.06507135,0.39340785
3000.0,0.6534,3.0,-2.08333,11.24302,966.81104,0.23405768,0.21796302,0.04581624,0.06844131,0.06794786,0.41081366
3000.0,0.6534,3.0,-2.0,11.24302,930.5108,0.22109847,0.20730057,0.047786295,0.071399,0.07087435,0.42852253
3000.0,0.6534,3.0,-1.91667,11.24302,896.5654,0.2080779,0.19634126,0.049786028,0.074401855,0.07384511,0.44649997
3000.0,0.6534,3.0,-1.83333,11.24302,864.8393,0.19501641,0.18512045,0.051810764,0.07744289,0.07685323,0.46470413
3000.0,0.6534,3.0,-1.75,11.24302,835.2232,0.18194483,0.17368244,0.053854227,0.08051274,0.079889394,0.4830787
3000.0,0.6534,3.0,-1.66667,11.24302,807.60944,0.16889496,0.16207261,0.05590996,0.08360175,0.08294403,0.50156575
3000.0,0.6534,3.0,-1.58333,11.24302,781.9026,0.15590434,0.15034172,0.057970602,0.08669888,0.08600619,0.52009916
3000.0,0.6534,3.0,-1.5,11.24302,758.02637,0.14302094,0.1385501,0.06002709,0.0897906,0.08906245,0.53859776
3000.0,0.6534,3.0,-1.41667,11.24302,735.9039,0.13029358,0.12675937,0.062070213,0.09286309,0.09209913,0.5569787
3000.0,0.6534,3.0,-1.33333,11.24302,715.46686,0.117776446,0.11503627,0.06408987,0.09590122,0.09510123,0.57515126
3000.0,0.6534,3.0,-1.25,11.24302,696.6612,0.105533145,0.10345665,0.06607443,0.09888755,0.09805148,0.593011
3000.0,0.6534,3.0,-1.16667,11.24302,679.4315,0.09362704,0.092096366,0.068012275,0.10180465,0.10093263,0.61045355
3000.0,0.6534,3.0,-1.08333,11.24302,663.7289,0.08212525,0.08103491,0.06989116,0.10463417,0.1037265,0.627369
