M0,g,gv,ch,cl,GammaTot,BRWW,BRhZ,BRll,BRnunu,BRtt,BRjets
2000.0,0.6534,1.0,-7.5,3.27921,984.55896,0.46445286,0.29952812,0.01993432,0.029269734,0.029032998,0.1768478
2000.0,0.6534,1.0,-7.25,3.27921,860.34467,0.4293264,0.29789966,0.023011958,0.033867627,0.033540294,0.20438841
2000.0,0.6534,1.0,-7.0,3.27921,773.87555,0.4008778,0.2931178,0.02579312,0.038026687,0.03761465,0.22928807
2000.0,0.6534,1.0,-6.75,3.27921,707.02167,0.37580204,0.28636184,0.028456157,0.042012293,0.04151694,0.25313964
2000.0,0.6534,1.0,-6.5,3.27921,652.54785,0.35275728,0.27813295,0.031071581,0.04592942,0.045350324,0.276573
2000.0,0.6534,1.0,-6.25,3.27921,606.7389,0.33105013,0.2687088,0.033674255,0.04983001,0.04916581,0.29989973
2000.0,0.6534,1.0,-6.0,3.27921,567.4058,0.31027576,0.25827068,0.036282912,0.053741988,0.05299082,0.32328725
2000.0,0.6534,1.0,-5.75,3.27921,533.1399,0.29018208,0.24695306,0.0389074,0.057680074,0.05683977,0.34682375
2000.0,0.6534,1.0,-5.5,3.27921,502.9766,0.2706083,0.23486677,0.041551888,0.06165053,0.060718786,0.3705466
2000.0,0.6534,1.0,-5.25,3.27921,476.2248,0.25145364,0.2221115,0.044216465,0.06565352,0.064628005,0.3944567
2000.0,0.6534,1.0,-5.0,3.27921,452.37143,0.23265983,0.20878306,0.046897966,0.06968434,0.0685628,0.41852587
2000.0,0.6534,1.0,-4.75,3.27921,431.02496,0.21420088,0.19497812,0.04959047,0.073734194,0.07251451,0.44270116
2000.0,0.6534,1.0,-4.5,3.27921,411.8797,0.19607654,0.18079706,0.052285578,0.07779054,0.076470844,0.46690753
2000.0,0.6534,1.0,-4.25,3.27921,394.6927,0.17830786,0.16634595,0.05497266,0.0818375,0.08041623,0.49104977
2000.0,0.6534,1.0,-4.0,3.27921,379.26788,0.16093399,0.15173756,0.057638995,0.08585602,0.084332034,0.515014
2000.0,0.6534,1.0,-3.75,3.27921,365.445,0.1440096,0.13709173,0.060269993,0.08982426,0.08819686,0.5386695
2000.0,0.6534,1.0,-3.5,3.27921,353.09192,0.12760253,0.122535154,0.062849395,0.093717836,0.09198687,0.56187046
2000.0,0.6534,1.0,-3.25,3.27921,342.0985,0.1117915,0.10820053,0.06535954,0.09751023,0.095676176,0.58445853
2000.0,0.6534,1.0,-3.0,3.27921,332.37268,0.09666373,0.09422513,0.06778168,0.10117329,0.099237256,0.6062654
2000.0,0.6534,1.0,-2.75,3.27921,323.83694,0.08231248,0.08074894,0.070096366,0.10467773,0.10264155,0.6271164
2000.0,0.6534,1.0,-2.5,3.27921,316.42587,0.068834275,0.06791223,0.072283834,0.1079938,0.10586008,0.646834
2000.0,0.6534,1.0,-2.25,3.27921,310.0843,0.0563261,0.05585284,0.07432452,0.11109198,0.10886407,0.6652424
2000.0,0.6534,1.0,-2.0,3.27921,304.7656,0.04488242,0.04470316,0.07619953,0.11394375,0.111625776,0.68217146
2000.0,0.6534,1.0,-1.75,3.27921,300.43076,0.034592208,0.034586973,0.07789117,0.116522305,0.11411916,0.69746184
2000.0,0.6534,1.0,-1.5,3.27921,297.04712,0.025536096,0.025616342,0.079383425,0.118803374,0.11632065,0.71096915
2000.0,0.6534,1.0,-1.25,3.27921,294.5878,0.017783713,0.01788867,0.08066243,0.12076586,0.11820985,0.7225682
2000.0,0.6534,1.0,-1.0,3.27921,293.0311,0.011391424,0.011484143,0.08171687,0.12239249,0.11977006,0.73215675
2000.0,0.6534,1.0,-0.75,3.27921,292.35986,0.006400495,0.00646364,0.082538344,0.12367029,0.12098883,0.7396582
2000.0,0.6534,1.0,-0.5,3.27921,292.5613,0.0028358398,0.0028672877,0.08312151,0.12459094,0.12185826,0.7450238
2000.0,0.6534,1.0,-0.25,3.27921,293.6266,0.0007053713,0.00071370753,0.08346427,0.12515093,0.12237515,0.7482337
2000.0,0.6534,1.0,0.0,3.27921,295.5507,0.0,0.0,0.083567746,0.12535162,0.122541025,0.74929684
