M0,g,gv,ch,cl,GammaTot,BRWW,BRhZ,BRll,BRnunu,BRtt,BRjets
3000.0,0.6534,1.0,-7.5,0.93692,700.5608,0.5008327,0.4494377,0.0041895793,0.006163791,0.0061824927,0.03728146
3000.0,0.6534,1.0,-7.25,0.93692,648.6437,0.49657652,0.44959214,0.004533229,0.0066750105,0.006691457,0.04035646
3000.0,0.6534,1.0,-7.0,0.93692,599.9174,0.49225584,0.44941127,0.0049103126,0.0072361766,0.007250006,0.043731254
3000.0,0.6534,1.0,-6.75,0.93692,554.15063,0.4878343,0.44887698,0.00532537,0.007854079,0.007864876,0.04744657
3000.0,0.6534,1.0,-6.5,0.93692,511.14172,0.48327234,0.44796568,0.0057836827,0.008536622,0.008543904,0.051549815
3000.0,0.6534,1.0,-6.25,0.93692,470.7139,0.47852603,0.4466474,0.006291422,0.009293044,0.009296249,0.05609638
3000.0,0.6534,1.0,-6.0,0.93692,432.71158,0.47354588,0.44488493,0.0068558287,0.010134186,0.010132656,0.061151262
3000.0,0.6534,1.0,-5.75,0.93692,396.9972,0.46827543,0.44263256,0.007485432,0.011072821,0.011065788,0.06679104
3000.0,0.6534,1.0,-5.5,0.93692,363.44867,0.46264958,0.4398346,0.00819032,0.01212406,0.012110615,0.07310628
3000.0,0.6534,1.0,-5.25,0.93692,331.95737,0.4565925,0.43642342,0.0089824665,0.013305844,0.013284917,0.08020453
3000.0,0.6534,1.0,-5.0,0.93692,302.42624,0.45001516,0.43231717,0.0098761385,0.0146395555,0.014609872,0.08821391
3000.0,0.6534,1.0,-4.75,0.93692,274.76852,0.44281232,0.42741674,0.010888388,0.016150758,0.016110802,0.097287595
3000.0,0.6534,1.0,-4.5,0.93692,248.90643,0.43485895,0.42160228,0.012039654,0.0178701,0.017818052,0.1076092
3000.0,0.6534,1.0,-4.25,0.93692,224.77016,0.42600584,0.4147288,0.01335448,0.019834401,0.019768076,0.11939925
3000.0,0.6534,1.0,-4.0,0.93692,202.29703,0.4160745,0.40662113,0.014862366,0.022087926,0.022004684,0.13292287
3000.0,0.6534,1.0,-3.75,0.93692,181.43071,0.40485144,0.3970681,0.016598737,0.024683857,0.024580505,0.14849848
3000.0,0.6534,1.0,-3.5,0.93692,162.12062,0.39208165,0.3858162,0.018605996,0.027685873,0.027558526,0.16650729
3000.0,0.6534,1.0,-3.25,0.93692,144.32137,0.37746274,0.37256342,0.020934524,0.031169679,0.031013615,0.1874024
3000.0,0.6534,1.0,-3.0,0.93692,127.99224,0.36064053,0.356955,0.023643406,0.035224114,0.03503358,0.21171528
3000.0,0.6534,1.0,-2.75,0.93692,113.09689,0.3412093,0.3385837,0.02680036,0.03995109,0.039719097,0.24005541
3000.0,0.6534,1.0,-2.5,0.93692,99.60294,0.31872222,0.31700033,0.03047998,0.045462985,0.045181103,0.2730945
3000.0,0.6534,1.0,-2.25,0.93692,87.48167,0.2927213,0.29174405,0.034758702,0.051875174,0.051533338,0.31152144
3000.0,0.6534,1.0,-2.0,0.93692,76.70776,0.26280186,0.26240763,0.039703913,0.059289787,0.058876216,0.35594487
3000.0,0.6534,1.0,-1.75,0.93692,67.25913,0.22873367,0.22876011,0.045353625,0.06776525,0.06726664,0.40671057
3000.0,0.6534,1.0,-1.5,0.93692,59.116684,0.19066384,0.19095193,0.051682394,0.07726526,0.076667435,0.4635954
3000.0,0.6534,1.0,-1.25,0.93692,52.264164,0.1494146,0.14981622,0.05855136,0.08758375,0.08687309,0.52535844
3000.0,0.6534,1.0,-1.0,0.93692,46.68806,0.10684167,0.10723147,0.065648176,0.09825452,0.09742052,0.58920014
3000.0,0.6534,1.0,-0.75,0.93692,42.37745,0.06611351,0.06640399,0.07244033,0.108480655,0.107519515,0.6503414
3000.0,0.6534,1.0,-0.5,0.93692,39.323944,0.031631995,0.031787787,0.078188784,0.117154,0.11607267,0.7021431
3000.0,0.6534,1.0,-0.25,0.93692,37.521595,0.008282617,0.008326046,0.082074106,0.12304347,0.12186248,0.73723674
3000.0,0.6534,1.0,0.0,0.93692,36.966873,0.0,0.0,0.08343735,0.12515603,0.12390886,0.74968797
3000.0,0.6534,1.0,0.25,0.93692,37.658615,0.008252483,0.008295751,0.08203415,0.123118706,0.12184685,0.73728186
3000.0,0.6534,1.0,0.5,0.93692,39.598026,0.03141304,0.031567745,0.07813965,0.11733791,0.11608302,0.70247185
3000.0,0.6534,1.0,0.75,0.93692,42.78867,0.06547796,0.065765694,0.07242734,0.10881945,0.10761609,0.6512959
3000.0,0.6534,1.0,1.0,0.93692,47.236507,0.10560039,0.10598596,0.06571134,0.09878277,0.09765454,0.5910639
3000.0,0.6534,1.0,1.25,0.93692,52.94993,0.14747721,0.14787462,0.058713816,0.08831161,0.087270945,0.52826583
3000.0,0.6534,1.0,1.5,0.93692,59.939808,0.18804027,0.1883268,0.051949184,0.078179516,0.077229895,0.46752965
3000.0,0.6534,1.0,1.75,0.93692,68.21959,0.22550303,0.22553395,0.04571665,0.068837576,0.06797645,0.4115505
3000.0,0.6534,1.0,2.0,0.93692,77.80539,0.2590764,0.25869635,0.04014806,0.06048573,0.05970712,0.3615195
3000.0,0.6534,1.0,2.25,0.93692,88.7161,0.2886192,0.2876696,0.035266627,0.05316062,0.052456964,0.31765068
3000.0,0.6534,1.0,2.5,0.93692,100.97355,0.3143519,0.3126749,0.03103505,0.046807665,0.04617103,0.279613
3000.0,0.6534,1.0,2.75,0.93692,114.60268,0.33666253,0.33410275,0.027388034,0.041329924,0.040752675,0.24682276
3000.0,0.6534,1.0,3.0,0.93692,129.63173,0.3559911,0.35239598,0.024251685,0.03661726,0.036092386,0.21861814
3000.0,0.6534,1.0,3.25,0.93692,146.0925,0.37276772,0.3679871,0.021553863,0.032561958,0.0320832,0.19435243
3000.0,0.6534,1.0,3.5,0.93692,164.0206,0.3873838,0.38126922,0.019229012,0.02906599,0.028627856,0.17343752
3000.0,0.6534,1.0,3.75,0.93692,183.45578,0.4001818,0.3925856,0.017219834,0.026043627,0.025641335,0.15535924
3000.0,0.6534,1.0,4.0,0.93692,204.4423,0.41145492,0.40222925,0.015477384,0.023421582,0.023050992,0.1396782
3000.0,0.6534,1.0,4.25,0.93692,227.02939,0.42145085,0.41044682,0.013960388,0.021138016,0.020795558,0.12602375
3000.0,0.6534,1.0,4.5,0.93692,251.2717,0.43037757,0.4174443,0.012634287,0.019141143,0.018823726,0.11408557
3000.0,0.6534,1.0,4.75,0.93692,277.22986,0.43840927,0.423393,0.011470249,0.017387727,0.017092684,0.103604615
3000.0,0.6534,1.0,5.0,0.93692,304.9713,0.44569182,0.4284352,0.010444234,0.015841715,0.015566735,0.094364904
3000.0,0.6534,1.0,5.25,0.93692,334.57083,0.45234776,0.43268874,0.009536185,0.014473011,0.014216088,0.086186215
3000.0,0.6534,1.0,5.5,0.93692,366.11176,0.45848024,0.4362515,0.008729336,0.013256454,0.013015838,0.07891783
3000.0,0.6534,1.0,5.75,0.93692,399.6869,0.46417674,0.43920445,0.008009629,0.0121709425,0.011945109,0.07243343
3000.0,0.6534,1.0,6.0,0.93692,435.39978,0.46951178,0.44161487,0.007365247,0.011198729,0.01098634,0.06662675
3000.0,0.6534,1.0,6.25,0.93692,473.36646,0.47454938,0.44353837,0.0067862133,0.010324832,0.010124713,0.061408106
3000.0,0.6534,1.0,6.5,0.93692,513.71704,0.47934502,0.44502077,0.0062640794,0.00953656,0.009347675,0.056701537
3000.0,0.6534,1.0,6.75,0.93692,556.5982,0.48394722,0.44609976,0.005791661,0.008823114,0.008644548,0.05244242
3000.0,0.6534,1.0,7.0,0.93692,602.1757,0.488399,0.4468059,0.005362823,0.008175276,0.008006219,0.048575584
3000.0,0.6534,1.0,7.25,0.93692,650.6379,0.492739,0.44716367,0.0049723084,0.007585142,0.0074248705,0.04505374
3000.0,0.6534,1.0,7.5,0.93692,702.1996,0.4970024,0.44719216,0.00461559,0.007045904,0.0068937778,0.04183616
