M0,g,gv,ch,cl,GammaTot,BRWW,BRhZ,BRll,BRnunu,BRtt,BRjets
4000.0,0.6534,1.0,-7.5,-3.27921,1453.3386,0.28759474,0.27245975,0.036639277,0.055104814,0.05469863,0.32988182
4000.0,0.6534,1.0,-7.25,-3.27921,1394.0453,0.27792728,0.264363,0.038120486,0.057327162,0.056908168,0.34320185
4000.0,0.6534,1.0,-7.0,-3.27921,1337.4098,0.26799497,0.2558975,0.03965459,0.059628688,0.05919655,0.35699698
4000.0,0.6534,1.0,-6.75,-3.27921,1283.3438,0.25779456,0.24706283,0.041241903,0.062009826,0.06156423,0.37126994
4000.0,0.6534,1.0,-6.5,-3.27921,1231.7656,0.24732535,0.23786098,0.04288232,0.06447041,0.06401105,0.3860198
4000.0,0.6534,1.0,-6.25,-3.27921,1182.6001,0.23658946,0.22829665,0.04457528,0.06700958,0.06653617,0.4012414
4000.0,0.6534,1.0,-6.0,-3.27921,1135.7775,0.22559237,0.21837795,0.046319664,0.069625616,0.06913791,0.41692457
4000.0,0.6534,1.0,-5.75,-3.27921,1091.2329,0.21434347,0.20811687,0.048113693,0.07231584,0.0718136,0.43305328
4000.0,0.6534,1.0,-5.5,-3.27921,1048.9069,0.20285656,0.1975299,0.04995485,0.075076446,0.07455949,0.44960484
4000.0,0.6534,1.0,-5.25,-3.27921,1008.74384,0.19115055,0.18663871,0.05183976,0.07790235,0.077370524,0.46654877
4000.0,0.6534,1.0,-5.0,-3.27921,970.6925,0.17924999,0.17547077,0.053764097,0.08078701,0.08024025,0.4838461
4000.0,0.6534,1.0,-4.75,-3.27921,934.7055,0.16718581,0.16406006,0.055722453,0.08372231,0.08316059,0.50144815
4000.0,0.6534,1.0,-4.5,-3.27921,900.73883,0.15499587,0.15244772,0.057708256,0.086698346,0.08612172,0.5192957
4000.0,0.6534,1.0,-4.25,-3.27921,868.7519,0.14272551,0.14068261,0.059713654,0.08970332,0.08911194,0.5373181
4000.0,0.6534,1.0,-4.0,-3.27921,838.70734,0.1304281,0.1288219,0.061729446,0.09272341,0.092117496,0.55543244
4000.0,0.6534,1.0,-3.75,-3.27921,810.5705,0.118165344,0.11693134,0.063745,0.09574263,0.09512254,0.5735432
4000.0,0.6534,1.0,-3.5,-3.27921,784.3097,0.1060075,0.105085604,0.06574825,0.09874285,0.09810905,0.5915417
4000.0,0.6534,1.0,-3.25,-3.27921,759.8958,0.094033346,0.093368106,0.06772567,0.10170378,0.10105685,0.6093063
4000.0,0.6534,1.0,-3.0,-3.27921,737.30225,0.082329854,0.08187079,0.069662355,0.10460303,0.1039437,0.62670285
4000.0,0.6534,1.0,-2.75,-3.27921,716.5047,0.07099154,0.070693396,0.0715421,0.10741628,0.10674543,0.6435857
4000.0,0.6534,1.0,-2.5,-3.27921,697.4812,0.060119487,0.05994241,0.0733476,0.110117584,0.109436214,0.65979916
4000.0,0.6534,1.0,-2.25,-3.27921,680.21204,0.04981987,0.049729597,0.07506067,0.11267967,0.11198896,0.6751799
4000.0,0.6534,1.0,-2.0,-3.27921,664.67944,0.04020217,0.04017004,0.07666259,0.115074456,0.114375725,0.68955946
4000.0,0.6534,1.0,-1.75,-3.27921,650.8678,0.03137689,0.03137983,0.07813446,0.117273614,0.11656831,0.702768
