M0,g,gv,ch,cl,GammaTot,BRWW,BRhZ,BRll,BRnunu,BRtt,BRjets
4000.0,0.6534,3.0,-2.5,8.43226,1236.3214,0.3396184,0.3210163,0.028349226,0.042377003,0.042237304,0.25446445
4000.0,0.6534,3.0,-2.41667,8.43226,1178.616,0.330063,0.3133201,0.029788345,0.04453425,0.044383414,0.26740015
4000.0,0.6534,3.0,-2.33333,8.43226,1123.632,0.3201319,0.30513263,0.031299714,0.04680001,0.046637338,0.2809859
4000.0,0.6534,3.0,-2.25,8.43226,1071.2845,0.30981055,0.2964419,0.032885544,0.049177624,0.04900238,0.29524162
4000.0,0.6534,3.0,-2.16667,8.43226,1021.47644,0.2990826,0.28723463,0.03454829,0.051670797,0.05148221,0.31018955
4000.0,0.6534,3.0,-2.08333,8.43226,974.1193,0.287934,0.27749956,0.036290057,0.05428272,0.054079983,0.32584864
4000.0,0.6534,3.0,-2.0,8.43226,929.148,0.2763579,0.26723197,0.038111806,0.057014856,0.056797132,0.34222758
4000.0,0.6534,3.0,-1.91667,8.43226,886.4864,0.26434737,0.25642765,0.040014446,0.059868608,0.059635025,0.3593347
4000.0,0.6534,3.0,-1.83333,8.43226,846.06494,0.25190043,0.24508701,0.041998096,0.062844194,0.06259386,0.37717122
4000.0,0.6534,3.0,-1.75,8.43226,807.8335,0.23902564,0.23322085,0.04406113,0.06593922,0.06567123,0.3957226
4000.0,0.6534,3.0,-1.66667,8.43226,771.732,0.2257345,0.2208433,0.046201404,0.069150485,0.06886392,0.41496962
4000.0,0.6534,3.0,-1.58333,8.43226,737.70575,0.2120471,0.2079772,0.04841531,0.072472654,0.0721666,0.43488008
4000.0,0.6534,3.0,-1.5,8.43226,705.71606,0.1979987,0.19466053,0.05069673,0.07589658,0.075570144,0.4553991
4000.0,0.6534,3.0,-1.41667,8.43226,675.7158,0.18363146,0.18093868,0.05303835,0.07941136,0.079063654,0.476461
4000.0,0.6534,3.0,-1.33333,8.43226,647.6621,0.16900064,0.16687046,0.05543064,0.08300272,0.08263294,0.49798024
4000.0,0.6534,3.0,-1.25,8.43226,621.5254,0.15418151,0.1525349,0.05786071,0.08665139,0.086258784,0.51984113
4000.0,0.6534,3.0,-1.16667,8.43226,597.2688,0.13925995,0.13802232,0.06031386,0.09033537,0.08991928,0.5419116
4000.0,0.6534,3.0,-1.08333,8.43226,574.8595,0.124338545,0.12344015,0.06277256,0.0940284,0.093588285,0.5640341
4000.0,0.6534,3.0,-1.0,8.43226,554.2751,0.10954235,0.1089187,0.06521549,0.09769855,0.09723403,0.5860172
4000.0,0.6534,3.0,-0.91667,8.43226,535.4877,0.09500774,0.09460026,0.06761942,0.10131098,0.10082186,0.6076519
4000.0,0.6534,3.0,-0.83333,8.43226,518.4726,0.080886774,0.080643214,0.06995845,0.104826875,0.10431314,0.6287055
4000.0,0.6534,3.0,-0.75,8.43226,503.2136,0.0673499,0.0672247,0.072203584,0.10820275,0.10766465,0.6489173
4000.0,0.6534,3.0,-0.66667,8.43226,489.6904,0.05457249,0.054527123,0.074324995,0.11139384,0.11083188,0.66801906
4000.0,0.6534,3.0,-0.58333,8.43226,477.88568,0.042735893,0.04273902,0.07629185,0.11435388,0.11376883,0.68573344
4000.0,0.6534,3.0,-0.5,8.43226,467.7884,0.03202584,0.032053217,0.0780726,0.117035486,0.11642841,0.70177656
4000.0,0.6534,3.0,-0.41667,8.43226,459.38504,0.022617541,0.022651803,0.07963746,0.11939393,0.1187662,0.7158806
4000.0,0.6534,3.0,-0.33333,8.43226,452.66495,0.014673806,0.0147039415,0.080958776,0.121387646,0.12074092,0.7277965
