M0,g,gv,ch,cl,GammaTot,BRWW,BRhZ,BRll,BRnunu,BRtt,BRjets
4000.0,0.6534,1.0,-7.5,0.93692,863.5603,0.48546234,0.45922756,0.0046356837,0.006883768,0.006891609,0.041472796
4000.0,0.6534,1.0,-7.25,0.93692,805.3208,0.48238704,0.45823485,0.0049756775,0.0073914947,0.007398,0.044523105
4000.0,0.6534,1.0,-7.0,0.93692,749.78406,0.4791595,0.45699152,0.0053493045,0.00794955,0.007954517,0.047875464
4000.0,0.6534,1.0,-6.75,0.93692,696.855,0.47575128,0.45547235,0.005761045,0.008564646,0.008567843,0.051570136
4000.0,0.6534,1.0,-6.5,0.93692,646.4463,0.47212967,0.4536475,0.0062161195,0.009244604,0.00924576,0.055654034
4000.0,0.6534,1.0,-6.25,0.93692,598.4774,0.46825677,0.45148167,0.006720634,0.009998571,0.009997372,0.060182028
4000.0,0.6534,1.0,-6.0,0.93692,552.8741,0.46408847,0.44893306,0.0072817565,0.01083729,0.010833367,0.06521854
4000.0,0.6534,1.0,-5.75,0.93692,509.56787,0.45957306,0.44595215,0.0079079345,0.0117734205,0.011766341,0.07083948
4000.0,0.6534,1.0,-5.5,0.93692,468.4956,0.45464972,0.44247994,0.008609159,0.012821938,0.012811194,0.07713466
4000.0,0.6534,1.0,-5.25,0.93692,429.5989,0.4492466,0.43844613,0.009397292,0.014000624,0.013985617,0.084210716
4000.0,0.6534,1.0,-5.0,0.93692,392.82394,0.44327822,0.43376675,0.010286465,0.015330669,0.015310684,0.09219467
4000.0,0.6534,1.0,-4.75,0.93692,358.12103,0.4366428,0.4283411,0.011293569,0.016837398,0.016811587,0.10123838
4000.0,0.6534,1.0,-4.5,0.93692,325.44437,0.42921853,0.4220482,0.012438844,0.018551167,0.018518513,0.11152382
4000.0,0.6534,1.0,-4.25,0.93692,294.75168,0.42085946,0.4147427,0.013746593,0.020508433,0.020467715,0.12326951
4000.0,0.6534,1.0,-4.0,0.93692,266.00415,0.41139027,0.40624958,0.015246022,0.022753013,0.022702757,0.1367381
4000.0,0.6534,1.0,-3.75,0.93692,239.16602,0.40060073,0.3963585,0.016972197,0.025337532,0.025275953,0.15224496
4000.0,0.6534,1.0,-3.5,0.93692,214.20453,0.38823932,0.38481754,0.018967083,0.02832498,0.028249912,0.17016755
4000.0,0.6534,1.0,-3.25,0.93692,191.08974,0.3740074,0.37132716,0.021280542,0.031790227,0.03169903,0.19095443
4000.0,0.6534,1.0,-3.0,0.93692,169.79428,0.35755473,0.35553586,0.023971051,0.0358211,0.035710573,0.21513173
4000.0,0.6534,1.0,-2.75,0.93692,150.29337,0.3384799,0.3370405,0.027105644,0.040518336,0.040384587,0.24330278
4000.0,0.6534,1.0,-2.5,0.93692,132.56454,0.31634042,0.31539658,0.030758202,0.04599303,0.04583136,0.2761327
4000.0,0.6534,1.0,-2.25,0.93692,116.587654,0.29068217,0.2901477,0.035004508,0.052359268,0.052164067,0.31430408
4000.0,0.6534,1.0,-2.0,0.93692,102.34472,0.2611033,0.26089004,0.03991157,0.059718125,0.059482835,0.35842118
4000.0,0.6534,1.0,-1.75,0.93692,89.819885,0.22737375,0.22739257,0.045517564,0.06812768,0.06784488,0.40882966
4000.0,0.6534,1.0,-1.5,0.93692,78.9993,0.18963605,0.18979932,0.051798258,0.07755258,0.07721439,0.4653147
4000.0,0.6534,1.0,-1.25,0.93692,69.8711,0.14870112,0.14892688,0.05861751,0.08778989,0.0873887,0.52665585
4000.0,0.6534,1.0,-1.0,0.93692,62.42533,0.10640589,0.10662459,0.06566748,0.09837916,0.09790908,0.59008914
4000.0,0.6534,1.0,-0.75,0.93692,56.65391,0.06589583,0.06605875,0.072421476,0.10853137,0.10799025,0.6508818
4000.0,0.6534,1.0,-0.5,0.93692,52.55059,0.031555135,0.03164254,0.07814579,0.11714621,0.116537884,0.70243746
4000.0,0.6534,1.0,-0.25,0.93692,50.110935,0.008269908,0.008294292,0.08202315,0.122996725,0.12233263,0.73740435
4000.0,0.6534,1.0,0.0,0.93692,49.332294,0.0,0.0,0.08339181,0.12508772,0.12438657,0.7498246
4000.0,0.6534,1.0,0.25,0.93692,50.213787,0.00825297,0.008277303,0.08200069,0.12303896,0.12232401,0.73742974
4000.0,0.6534,1.0,0.5,0.93692,52.75631,0.031432085,0.03151915,0.07811813,0.117249444,0.11654407,0.7026222
4000.0,0.6534,1.0,0.75,0.93692,56.96253,0.06553876,0.065700814,0.07241406,0.1087215,0.10804515,0.65141785
4000.0,0.6534,1.0,1.0,0.93692,62.836887,0.10570873,0.10592609,0.06570276,0.09867557,0.098041505,0.5911355
4000.0,0.6534,1.0,1.25,0.93692,70.38563,0.14761338,0.1478378,0.058708444,0.088198274,0.08761348,0.5282879
4000.0,0.6534,1.0,1.5,0.93692,79.61682,0.18816353,0.1883263,0.051947694,0.07806553,0.077531934,0.4675231
4000.0,0.6534,1.0,1.75,0.93692,90.54039,0.2255611,0.2255813,0.045721,0.06872935,0.0682455,0.41154677
4000.0,0.6534,1.0,2.0,0.93692,103.168144,0.25901368,0.25880483,0.04016056,0.060389288,0.059951786,0.36155137
4000.0,0.6534,1.0,2.25,0.93692,117.51384,0.28838208,0.2878562,0.035289384,0.05308087,0.052685432,0.3177468
4000.0,0.6534,1.0,2.5,0.93692,133.59325,0.31389078,0.3129609,0.031069683,0.04674819,0.046390332,0.27979562
4000.0,0.6534,1.0,2.75,0.93692,151.4242,0.33593246,0.33451352,0.027435625,0.041293062,0.040968474,0.24710755
4000.0,0.6534,1.0,3.0,0.93692,171.02664,0.35495105,0.3529602,0.024312844,0.036604337,0.036309063,0.21901515
4000.0,0.6534,1.0,3.25,0.93692,192.42282,0.37137976,0.3687362,0.021628832,0.03257353,0.032304037,0.19486725
4000.0,0.6534,1.0,3.5,0.93692,215.63725,0.38561207,0.38223678,0.019317757,0.029102061,0.028855262,0.17407247
4000.0,0.6534,1.0,3.75,0.93692,240.69695,0.39799166,0.39380693,0.017322142,0.026103841,0.025877044,0.15611435
4000.0,0.6534,1.0,4.0,0.93692,267.63147,0.40881217,0.40374115,0.015592924,0.023505349,0.023296226,0.14055197
4000.0,0.6534,1.0,4.25,0.93692,296.47308,0.418321,0.41228747,0.014088767,0.021244623,0.021051163,0.12701374
4000.0,0.6534,1.0,4.5,0.93692,327.25696,0.42672548,0.41965324,0.012775088,0.019269813,0.019090282,0.11518883
4000.0,0.6534,1.0,4.75,0.93692,360.0213,0.4341985,0.42601126,0.011623053,0.017537676,0.017370576,0.10481798
4000.0,0.6534,1.0,5.0,0.93692,394.80756,0.44088432,0.43150532,0.0106086405,0.016012186,0.015856218,0.09568521
4000.0,0.6534,1.0,5.25,0.93692,431.66068,0.44690344,0.43625513,0.009711823,0.014663293,0.014517329,0.08761041
4000.0,0.6534,1.0,5.5,0.93692,470.6293,0.45235667,0.4403605,0.0089158695,0.013465895,0.013328953,0.08044314
4000.0,0.6534,1.0,5.75,0.93692,511.76608,0.45732868,0.44390488,0.008206764,0.01239896,0.012270182,0.07405734
4000.0,0.6534,1.0,6.0,0.93692,555.128,0.46189082,0.44695815,0.007572734,0.011444816,0.011323451,0.06834712
4000.0,0.6534,1.0,6.25,0.93692,600.7767,0.4661035,0.44957903,0.007003849,0.010588558,0.010473946,0.06322316
4000.0,0.6534,1.0,6.5,0.93692,648.7788,0.47001806,0.45181692,0.0064917067,0.009817574,0.00970913,0.05860989
4000.0,0.6534,1.0,6.75,0.93692,699.2065,0.47367844,0.45371357,0.006029172,0.009121148,0.009018356,0.05444311
4000.0,0.6534,1.0,7.0,0.93692,752.1379,0.47712228,0.45530427,0.005610159,0.0084901415,0.0083925435,0.05066807
